,report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
33,2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,756313283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2020-09-30,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,3060161084.0,289367020.0,159137444.0,602587339.0,2436592943.0,5455557355.0,806337456.0,6162728327.0,265468580.0,166269279.0,273229150.0,4510141866.0,657928218.0,2713665096.0,5503704156.0,2019460732.0,2246352581.0,1523822625.0,2349556255.0,6896223149.0,756451823.0,4259411598.0,9414158922.0,,,2417220440.0,1979207809.0,1404034846.0,453240333.0,1243192544.0,302080060.0,,9894557280.0,12580279206.0,5231589648.0,6762037614.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3752384706.0,966598935.0,887786160.0,3088973894.0,288626076.0,764045456.0,5714950888.0
35,2020-12-31,1099810083.0,2031751761.0,1985645229.0,139125159.0,959197790.0,585938609.0,3061465082.0,289367020.0,159137444.0,602587339.0,2436592943.0,5455557355.0,806455229.0,6162728327.0,265468580.0,166298116.0,273256830.0,4510141866.0,657951004.0,2713665096.0,5507656932.0,2020456081.0,2246582938.0,1510388506.0,2349556255.0,6903693527.0,757104998.0,4259587833.0,9414158922.0,,,2417220440.0,1980478721.0,1404256696.0,453513540.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,5231589648.0,6762067614.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3752384706.0,967423190.0,887786160.0,3088973894.0,288636906.0,764045456.0,5715338089.0
36,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5477838089.0
37,2021-01-23,,,,143784657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320307765.0,,,
39,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,773155187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
41,2021-03-31,1099810083.0,2031751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3063748652.0,289367020.0,159137444.0,602587339.0,2436592943.0,5492027268.0,806463279.0,6162728327.0,265468580.0,166301231.0,273335922.0,4440385225.0,658044844.0,2713665096.0,5512776482.0,2020943966.0,2246684247.0,1455845587.0,2349567819.0,6915992387.0,773372299.0,4260660846.0,9414158922.0,,,2417220440.0,1981835668.0,1404555297.0,453680133.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,5231589648.0,6762068814.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3699051373.0,968260067.0,887786160.0,3320307765.0,288653398.0,764045456.0,5479138555.0
42,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
