report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
12-12-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819155633,289367020,159137290,601689069,2436592943,5131961850,806077497,6162728327,265468580,166145748,27289722,4510141866,657672734,2713665096,5470763894,2017672019,2245924242,1523822625,2164812057,6459674956,692982757,4258412178,9414158922,,,2417220440,1910028300,1403265582,452647548,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339123229,8924611534,36080748,2399334970,631129729,1204126385,3752384706,964844109,887786160,3088972101,288613666,764022956,5712906868
31-12-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819752963,289367020,159137290,601689069,2436592943,5131961850,806227596,6162728327,265468580,166163148,27304562,4510141866,657798938,2713665096,5477027068,2018606832,2246040614,1523822625,2164812057,6469353972,693070224,4258548000,9414158922,,,2417220440,1911034957,1403581376,452906754,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339203530,8924611534,36080748,2399334970,631129729,1204126999,3752384706,965312635,887786160,3088972101,288618016,764045456,5713022469
15-01-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819752963,289367020,159137290,601689069,2436592943,5455557355,806227596,6162728327,265468580,166163148,27304562,4510141866,657798938,2713665096,5477027068,2018606832,2246040614,1523822625,2164812057,6469353972,693070224,4258548000,9414158922,,,2417220440,1911034957,1403581376,452906754,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339203530,8924611534,36080748,2399334970,631129729,1204126999,3752384706,965312635,887786160,3088972101,288618016,764045456,5713022469
11-03-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819752963,289367020,159137290,601689069,2436592943,5455557355,806227596,6162728327,265468580,166163148,27304562,4510141866,657798938,2713665096,5477027068,2018606832,2246040614,1523822625,2164812057,6469353972,693070224,4258548000,9414158922,,,2417220440,1911034957,1403581376,452906754,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339203530,8924611534,36080748,2399334970,921551715,1204126999,3752384706,965312635,887786160,3088972101,288618016,764045456,5713022469
31-03-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2821677934,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166172082,27305473,4535759610,657798938,2713665096,5483286460,2018798399,2246222687,1523822625,2164844187,6472765203,693535738,4258992566,9414158922,,,2417220440,1913038338,1403892022,452998121,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339267510,8924611534,36080748,2399334970,921551715,1204126999,3752384706,965852364,887786160,3088973894,288625105,764045456,5713357390
21-04-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2821677934,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166172082,27305473,4535759610,657798938,2713665096,5483286460,2018798399,2246222687,1523822625,2349467999,6472765203,693535738,4258992566,9414158922,,,2417220440,1913038338,1403892022,452998121,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339267510,8924611534,36080748,2399334970,921551715,1204126999,3752384706,965852364,887786160,3088973894,288625105,764045456,5713357390
30-05-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2821677934,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166172082,27305473,4535759610,657798938,2713665096,5483286460,2018798399,2246222687,1523822625,2349467999,6472765203,693535738,4258992566,9414158922,,,2417220440,1978804377,1403892022,452998121,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339267510,8924611534,36080748,2399334970,921551715,1204126999,3752384706,965852364,887786160,3088973894,288625105,764045456,5713357390
11-06-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2821677934,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166172082,27305473,4535759610,657798938,2713665096,5483286460,2018798399,2246222687,1523822625,2349467999,6472765203,693535738,4258992566,9414158922,,,2417220440,1978804377,1403892022,452998121,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6761843669,8924611534,36080748,2399334970,921551715,1204126999,3752384706,965852364,887786160,3088973894,288625105,764045456,5713357390
30-06-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,2822022959,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166232516,27305473,4539703374,657806468,2713665096,5490278560,2019173024,2246284546,1523822625,2349550042,6475980400,693566038,4259154628,9414158922,,,2417220440,1978804377,1403992234,453091022,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6761844754,8924611534,36080748,2399334970,921551715,1204126999,3752384706,966177667,887786160,3088973894,288625105,764045456,5714438884
11-08-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,3060066034,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166232516,27305473,4539703374,657806468,2713665096,5490278560,2019173024,2246284546,1523822625,2349550042,6475980400,693566038,4259154628,9414158922,,,2417220440,1978804377,1403992234,453091022,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6761844754,8924611534,36080748,2399334970,921551715,1204126999,3752384706,966177667,887786160,3088973894,288625105,764045456,5714438884
