,0
2022-01-10,1979.8283420421737
2022-01-11,1989.26623313602
2022-01-12,2000.7924553416037
2022-01-13,2002.62601420292
2022-01-14,2004.2910457603011
2022-01-17,2012.6042258584152
2022-01-18,1991.8853641188973
2022-01-19,1968.4779829666693
2022-01-20,1949.2957075989002
2022-01-21,1937.4138619366165
2022-01-24,1887.790184679007
2022-01-25,1905.657792618295
2022-01-27,1884.2772362634958
2022-01-28,1883.8580176879905
2022-01-31,1908.9944238665782
2022-02-01,1937.9099754570307
2022-02-02,1958.555332729117
2022-02-03,1938.9446225314575
2022-02-04,1935.8596914705465
2022-02-07,1907.3436641921685
2022-02-08,1911.341652397029
2022-02-09,1933.4543279356633
2022-02-10,1944.9599614714741
2022-02-11,1915.6734402283987
2022-02-14,1867.8737875847826
2022-02-15,1926.384820662803
2022-02-16,1920.6220348935005
2022-02-17,1913.595898991427
2022-02-18,1911.5759444870737
2022-02-21,1900.8879101468262
2022-02-22,1878.9368232372817
2022-02-23,1878.6601385790893
2022-02-24,1788.4229569946542
2022-02-25,1830.7870710159887
2022-02-28,1846.385942119019
2022-03-02,1824.0013497175732
2022-03-03,1807.8219572694668
2022-03-04,1778.31645322414
2022-03-07,1739.2948994514002
2022-03-08,1763.0557775616683
2022-03-09,1799.9717193878712
2022-03-10,1827.424057436925
2022-03-11,1828.5637462862483
2022-03-14,1855.3963235527897
2022-03-15,1833.9530329532445
2022-03-16,1867.1033946564703
2022-03-17,1897.014344944896
2022-03-21,1873.9159865245247
2022-03-22,1895.2003094323707
2022-03-23,1885.8885471940296
2022-03-24,1885.5749976842906
2022-03-25,1877.763014677377
2022-03-28,1889.8413211992324
2022-03-29,1900.7376296826974
2022-03-30,1919.2562857420055
2022-03-31,1919.4315527663732
2022-04-01,1937.3728941659529
2022-04-04,1962.1703427405123
2022-04-05,1959.9962578212042
2022-04-06,1948.3722556552802
2022-04-07,1930.2694141229242
2022-04-08,1942.9804809209486
2022-04-11,1932.1072199341045
2022-04-12,1920.3925012060574
2022-04-13,1916.037385916097
2022-04-18,1882.4807021731094
2022-04-19,1862.6402785084697
2022-04-20,1888.3222815163458
2022-04-21,1918.8226716112456
2022-04-22,1895.7323996234184
2022-04-25,1874.529250387489
2022-04-26,1898.356555895787
2022-04-27,1885.1803920012494
2022-04-28,1912.433021031058
2022-04-29,1893.0964561892729
2022-05-02,1883.7125707991715
2022-05-04,1842.3296394109439
2022-05-05,1844.9195565781185
2022-05-06,1817.3799479912752
2022-05-09,1806.198001297635
2022-05-10,1802.171808909013
2022-05-11,1794.8213427999096
2022-05-12,1763.4093988258196
2022-05-13,1758.982945731335
2022-05-16,1762.2563446639037
2022-05-17,1809.5690893257192
2022-05-18,1808.618802467787
2022-05-19,1751.2301410857567
2022-05-20,1799.2098841132604
2022-05-23,1799.9515789829618
2022-05-24,1783.649684825173
2022-05-25,1763.6648604429765
