,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
BPCL,0.006584668539883452,0.005098523140487951,0.004932183028155758,0.004829440983394513,0.004982568817073174,0.004818196492926814,0.005805635312175238,0.005717606067102893,0.005119348394245483,0.005059153606801764,0.004248727021560191,0.003735762170402585,0.004111252794582528,0.0041435544985940565,0.0038460958599816045,0.0034563929773492237,0.003259727583232565,0.003083980602613133,,,,,,,,0.0073517127191434,0.00846685828533169,0.006933420540381709,0.006773874821668146,0.007247899885126605,0.007721346166466294,0.008083917563132094
BRITANNIA,0.006134807655829129,0.0067996077825678205,0.006060672096323266,0.013098049043914926,0.012220245806756612,0.010294465889708707,0.010914966379469343,0.010579077969365556,0.012370808247989576,0.014041898974648142,0.01346224739060227,0.01033143195453068,0.009755349221557021,0.009233599459373446,0.00885490765212704,0.008053474656414726,0.007147655686856916,0.008665335250044561,0.008131129578591505,0.008582800290282348,0.009138922925498977,0.00968854899163659,0.008281986484946857,0.008711327596213077,0.007577977540395689,0.007812822507078264,0.008399605951488124,0.006538389615063764,0.006819188839106493,0.007254195443965504,0.007718697132725024,0.007017814690627526
CIPLA,0.009624258863282062,0.0096477891354483,0.009733775241459757,0.007812481234124166,0.007419695011257073,0.007429217667221299,0.005645449750164892,0.005976907340378947,0.007031956461058086,0.008915658029258554,0.009598615332416892,0.008276439858034392,0.007664427220482619,0.008422007176630258,0.007596142003612878,0.007263456161261258,0.007817999836487566,0.007765587497534418,0.008029515979735941,0.007298507193297638,0.0064821375850280995,0.00655091743405025,0.007307172235628763,0.006863781388604622,0.007795593996477787,0.007132445588614093,0.007367105221100311,0.007054797340719807,0.006695292094843643,0.006343531072487313,0.006495253674060776,0.006213048989624065
COALINDIA,0.02160116978663242,0.017870959959275602,0.017037930220121858,0.01602359957766185,0.015014671857413205,0.015345352912671806,0.011870708538212895,0.011823928429974269,0.011247093856036516,0.008933728620974593,0.006939775134343979,0.007010586955685288,0.006500821693812574,0.0067389555245158436,0.0077262857610594605,0.006434348427138059,0.00829733448707746,0.009274283872600852,0.009100919624738718,0.00967468463824289,0.009985069189213465,0.009679287902331671,0.011914640493999073,0.014188796919765316,0.015668014645318355,0.015792174569270394,0.015767571437932934,0.012752495968972401,0.013496574271604372,0.01192432328055888,0.012515160885619717,0.011971819351330914
DIVISLAB,0.006358008141405525,0.0053703313819922155,0.006465951093254454,0.0073858002580300015,0.007736559366588115,0.007099448734180809,0.007351021672742631,0.007673169504547019,0.010968795947858863,0.010523311307063028,0.012521353377008855,0.012856039895276393,0.011293116888363318,0.012661613838256062,0.012266078054222522,0.011910116413892544,0.011186148006813237,0.01016982904042364,0.008852196042063306,0.007679537409281462,0.006741001836110472,0.0076711857048060205,0.007691439085672201,0.007129215216387581,0.0059492502685275245,0.007339672408760491,0.00801821350515918,0.009306199008238817,0.008867050284513312,0.009384028250327392,0.008078900679516854,0.008678135738964103
DRREDDY,,,,,,,,,0.0021385494071822163,0.002264506591924214,0.002666960575276102,,,,,,,,,,,,,,,,,0.006647752546546902,,,,
EICHERMOT,,,,,,,,,,,0.009154186729552708,0.00856803798976065,0.008214346133242897,0.007765607561282038,0.007234502408327047,0.006693675733499006,0.00633411167969723,0.007941043646005569,0.008890857281735234,0.007361351819248129,0.007136781771267025,0.0077733626022137275,0.007165561631387212,0.00770090308505567,0.007064226896282866,0.00760062266292283,0.007579961594068035,0.007534794484378469,0.008408833042453276,0.007986138924260075,0.010277681051762003,0.009218787551244797
GAIL,0.004237917642044208,0.003891230765532206,0.004119002835280243,0.003954696460461611,0.003795285153063212,0.006287758252190736,0.0053162768122686005,0.00450647735449276,0.003981680085564201,0.004452981890283298,0.003344346200937291,0.0038680864216851067,0.004048018168075332,0.004119392850159264,0.003875487559949244,0.00323739058192472,0.004025915620379236,0.0038055395158952633,0.0046982007658130116,0.004881959691218323,0.005885849067151726,0.005272045030324342,0.005910079231299247,0.0068845199206640315,0.007497867752746677,0.008407978579680618,0.008437109653394559,0.006946443253141293,0.006951907981319818,0.006505911948856264,0.006200047839120756,0.006054212013221219
GRASIM,0.015263314571163842,0.012969605059445386,0.01252800592233365,0.010226083036785408,0.009651834431506629,0.010104608478026212,0.008005284121149973,0.00768127572239538,0.006475268689104449,0.007057649208864041,0.007586665015436485,0.007704983926415351,0.011222689621066036,0.010684852742817887,0.010613532063025576,0.010274058116585312,0.010518935718463263,0.009203915523105071,0.009941598073215558,0.00963473834978166,0.009685933250292511,0.00922635522215686,0.009834156908110793,0.009662140842356734,0.010157644351469366,0.01096663051599811,0.010566268165718639,0.009564462034014672,0.010286972577347656,0.010058713568942536,0.010036114062804524,0.00951015126849045
HCLTECH,0.012501722639528243,0.01062396183360711,0.011835598223908603,0.010341784924458298,0.010921841978736873,0.010228085189209573,0.010218556868047459,0.020281151762923093,0.020582591018798637,0.021992136656931293,0.028683411148766158,0.027363109338430912,0.026579972528440653,0.024944292012907328,0.028936735751497893,0.02995449728071086,0.026599234483756944,0.02493226916098678,0.020442566273130486,0.021674851583086976,0.024235026119484224,0.024191031414208256,0.02400898251617893,0.02572705229771799,0.02580933053631574,0.022871799411626682,0.02600243443187291,0.02894335682174504,0.024432322854763606,0.024079215687920076,0.019945676214731523,0.021724023751787936
