date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BEL,BHARTIARTL,BOSCHLTD,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,ETERNAL,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LTIM,LUPIN,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
2020-09-30,325936914313.5499,674018703713.2637,388499293958.1925,295382412896.89746,1823808631620.553,,1294094008562.8066,,,92923737553.3999,,193526731325.9064,71593986115.01772,2203159109522.927,,266328039494.49936,843870160764.6338,601681489625.4961,435014228187.2942,784890975530.835,167176280758.461,573822839753.3203,,209637654423.70804,475564000607.5829,1797996580740.6328,2811356680193.711,1112656427215.3894,,379921852564.82715,146539520209.25046,4440052135245.213,2366161550442.2954,,,479838141580.8784,385270276761.3771,3740399539060.8643,321461579723.1614,0.0,,635544925274.5105,2499588702797.174,1178430766626.7852,416275583265.84033,,720970485577.2461,1952396675290.5762,103864993915.4269,72371187649.24951,685861795158.7207,641630088003.6459,,6850783992297.46,802825756006.8835,1526748067793.7922,716065571829.0938,28416202228.915924,,1140326925743.336,443241991817.5603,,,37291892716.37109,8319272333355.672,618395237865.1666,1050207244857.0703,,,1137233880759.542,365007187603.9483,225068029267.13834,847244521259.0536,329472004092.4618,190078494906.84125
2020-12-31,526095737402.14417,954079265270.0216,476134765679.29803,331788708959.6118,2542094506078.22,,1891587975837.7788,,,141415230371.74048,,312561103840.78033,89688749515.65186,2667656830480.4653,,287487885897.9822,795061729153.5996,636918542727.1697,539504050542.04456,989344493018.0957,167762867044.91946,659358657112.9175,,297670980409.62933,592941798445.476,2105744984952.5874,3746386637821.97,1346233561672.1074,,521538182040.8573,175197680228.77325,5175657127341.0205,3572617577949.1353,,,662116355971.6187,654333170043.9473,4709001387780.83,395628283365.76794,0.0,,885987493308.1726,3935800382035.5786,1715802666151.6416,602267409750.4873,,854632729548.4902,2214749814899.9023,126195730315.1383,84272420206.52344,784695190557.2861,862147058331.8563,,6087193537922.607,894648012200.8594,2264182225844.7036,848845825158.375,48356940519.18181,,1349730335043.5552,522989260308.6493,,,66721131575.471886,9596569979191.043,790240317694.6765,1369985825638.125,,,1485125248235.2646,338479038785.8008,292452158514.8914,1043758211537.0488,447230081318.53815,203363050329.99194
2021-03-31,1131234820099.332,1385313306190.1084,593045294363.9713,412516917200.6631,2333264548357.0605,,2127926588847.3245,,,153518233250.0278,,303981479725.4712,95528257393.12642,2725532837244.1694,,339630120365.8286,805888276851.7617,633157450901.0387,537032132214.227,932923086888.3301,145555568591.83636,678586189016.6631,,334406315145.13605,927105098439.4731,2195768472580.9688,3899597235696.1846,1385771170046.3853,,708677834841.9479,181735817487.72742,5253681827780.288,3893702869643.648,,,627094131567.3828,712829813400.0427,5131209243214.65,443997805557.7656,0.0,,1071902934133.4924,3459703976563.042,1891169754880.4976,667651038069.7773,,943167706375.834,1985909419446.9727,197842534417.8399,78658699882.79883,867631085532.4176,962700798499.7238,,6141771166597.784,871507104944.2188,2999969165555.8438,1041576355395.9844,65721993275.70416,,1374056697910.168,566431277900.095,,,84156839442.60661,10521429645221.744,805755781449.8872,1362030754462.002,,,1892395750611.255,465857736907.04785,414488439978.6445,1075312376906.0651,390856542861.2882,184892040414.72858
2021-06-30,1653874989663.7886,1404478965139.7935,654106793815.7247,514443564767.551,2765558787113.0225,,2284202963527.3667,,,192267773492.9624,,355692466707.2305,135923487275.43744,2769526543344.496,,371493932858.2925,827846279990.9473,755082277708.364,604186838138.3569,1135187849635.5566,174852684810.3186,696232207143.3164,,369327699542.3252,957959637984.2396,2236401897304.5703,3937552579707.0674,1370907816767.849,,806758344619.003,221406552087.7802,5378360288525.074,4225648581019.3306,,,659756272918.7012,759554867790.0526,5990946389630.546,521582629188.6075,0.0,,1564893670792.019,3368076533620.054,2000066862088.0957,670612451313.8066,,922353488434.877,2176040349711.3184,244718945291.67114,81241945494.35083,947839127340.1375,1109249936775.6548,,6494096575359.258,1000362029230.8875,3483936239786.769,972263758613.5547,66011218676.67622,,1552537257279.7998,672658899569.5193,,,123636664686.69026,11131510322950.938,890946904594.1064,1514532953078.8184,,,1903089050489.7266,575454284326.3848,476276709596.4033,1416769439213.7207,339493980821.39404,195403699296.85754
2021-09-30,1611664676070.5635,1472736954691.2666,768453066020.5099,637301691860.1548,2998386018841.1304,,2340962606448.4287,,,282486912684.74805,,454115848545.9421,155927950286.1577,3694578992079.117,,389059630397.7235,895736150049.832,768403156854.334,781568112698.9292,1240800013296.67,158125670115.59375,731820769830.8965,,392032807443.3485,1073633370561.6138,2927154217224.375,4200810910417.7383,1443726660111.2825,,1065498925779.727,244714373272.87042,5880011028853.139,4714276781303.381,,,777337598710.6842,835321953308.9338,6268775030267.46,614446032585.7322,0.0,,1544149304508.6548,3962502868946.5073,2295619440655.4297,959637055234.4238,,963138535332.0156,2138094049674.3164,345731609605.7145,89593050641.61401,1187361843115.142,1383155685929.2275,,7751286071459.422,1205795242883.2256,3764844978871.6387,1023832167692.5547,64272947079.62427,,1885721177345.4138,725444396356.3523,,,136598062178.87103,12588893215654.66,1153841728153.6963,1894399766533.1836,,,2087422341782.6416,519643477843.0713,554072333072.6061,1646902705295.8113,314439074840.39404,279910659239.3527
2021-12-31,1876616201640.764,1457568498722.2017,724865159748.0397,712925821951.062,3129881123101.836,,2072906713408.1328,,,260561184099.68848,,413205716617.8955,161306033208.38116,3932597495813.8237,,351046004912.11487,817945216971.1172,737707570862.0807,653499855011.1763,1209642194199.1309,158995017555.42358,679838241722.1826,,328803188055.41705,1043477139230.9058,3042306435771.325,3899954856283.1016,1299199182834.415,,1038447371179.3433,238474154514.12054,5168032102444.652,4985048617975.599,,,775830874197.625,667598398639.2003,7127025419527.099,567107261390.8171,0.0,,1515614034918.706,3550220235137.8047,2556054457001.8413,1223592591472.8086,,1004036413486.0469,2163851242290.2832,427484679961.7088,91328998424.72899,1041295822213.4045,1413436292820.2625,,7290607154113.103,1186924414915.9226,3826761377891.4717,956025448847.6484,60904308555.51608,,1948981817055.23,662895311135.8914,,,119495592453.51442,12488775897719.564,1512717520888.5547,2210345001116.543,,,2142483796137.9595,548573771771.32715,683013202633.3945,1858084752823.7808,343252207160.85596,296158758082.35077
2022-03-31,2211771375814.7275,1598632431065.4805,586835365853.7573,642207711414.1113,2849547372704.1577,,2326823143228.5283,,,270951895665.3955,,431251632619.07874,164374918599.57956,4341787957800.9395,,331691110781.1284,727304289612.9258,795514650730.3191,844288984974.6488,1138238016215.625,139187258188.84808,644522735475.6533,,409653994064.88184,1070346335270.263,2706584954284.9907,3878293916081.0537,1123176220571.9563,,1243605328022.2732,219712696790.8751,4485939621237.784,4922546285961.548,,,774651745815.5577,703114931504.303,7201053816121.019,625621252318.6492,0.0,,1692834180268.4229,3468039193485.4688,2383469484979.622,1027514614221.793,,967336207129.2949,2203142595094.4434,335558485240.9026,80552741428.75195,1162980578102.1416,1643976589472.1836,,8111363854732.287,1115107887762.2021,4101852832498.9634,852857482856.4141,57431567052.44197,,2124747894429.994,693166800051.4443,,,140539756824.23245,12380729063442.293,1268409249446.1372,2222393837208.926,,,1863458694641.3813,565094855748.3135,835921015482.816,1540154038528.9438,308175926445.153,266201325840.57312
2022-06-30,2493039673166.289,1387704279879.7832,711850481756.9127,523808593664.9568,2507949547053.1885,,1947755332927.2737,,,173679210724.2256,,321965632810.3217,182543478576.41208,3939211244558.694,,284662720184.39136,799842223876.9219,716792206476.5825,856050415070.6449,938712518491.2744,142387111209.14197,732987452469.5547,,351265254212.6999,849555158334.7944,2301339883176.3735,3602761428781.1846,1151316888564.6758,,739502930174.6705,177173205556.90762,4927480077122.459,4772043749114.304,,,617752195698.2871,597518553573.1777,5580375469094.488,585780366852.0776,0.0,,1304313058339.7144,3285914858664.9766,2101291762095.7588,668719828766.6016,,1311070219523.4102,2468129642726.924,354194914613.3723,81367361249.92896,1231036863731.2834,1520101266032.5977,,7990990775437.561,1075599684739.6729,3932483577761.3174,674607242032.4531,64845522703.66765,,1929287324657.7417,634825444365.6345,,,98248360937.66034,10888260431725.621,846549936292.251,1701091049277.8906,,,1582626078662.291,456186054469.03253,501111509535.5622,1091650887150.3906,316945499851.9332,197655333322.37363
2022-09-30,3933992740492.703,1706285334803.2085,1011102148888.5636,625042926533.272,3110231384976.565,,2246674004014.9536,,,2668908713147.1606,,437340918936.118,712326659202.6776,4676661323272.784,,286289328740.6909,886751045179.0488,875669440327.1453,992512775909.485,965387898023.0469,141489244660.7765,969604150433.6914,,512368472212.61035,1084194071311.4297,2229390988500.3354,3809338289208.299,1129273644985.5078,,860659220140.8885,186331507007.74512,5956560895730.916,5861200660602.514,,,713890397794.0034,898868961368.1475,5395696945069.206,819407934331.6381,3715466418689.821,,1504563778953.401,3601378857526.242,2523603663978.1084,750100154072.1978,,1536579762351.004,2589201649274.59,393721482989.0149,89167824614.85352,1401713486689.9011,1302154301854.8955,,7344046283104.048,1243804862458.4775,4478591213497.278,748099074674.5312,60604642423.85317,,2210724015373.7324,721553900200.156,,,1125201844704.0454,10039691042732.592,879594614098.3641,2292516589402.8516,,,1775604991230.4795,491275816349.41626,656454877297.3167,1035053891522.0051,392123678782.1106,240916623234.02438
2022-12-31,4392308816169.7344,1739446347995.6929,1027770770411.9009,638475277957.0356,2877512812373.1055,,2863654601983.562,,,2461387724321.721,,391998614994.6353,704917666990.6759,4713850727944.375,,310428554549.99927,993907269556.3125,845183286454.9766,1120349893670.6663,889307428783.6426,138333628261.17743,852460833231.3428,,565341737273.8564,1115724025055.459,2509995785335.418,4368904175433.376,1205527799897.8298,,1043135546737.9114,202569833552.2245,5695416102656.15,6065319182190.169,,,772612077188.3334,925542287413.8105,5790243150550.162,936291369717.9531,3712122828286.861,,1829462755984.4946,3617948031064.9736,2849153262942.6074,1238920377943.1147,,1513558847293.0664,2462046004018.574,424747888159.80084,91859361364.45679,1461416873302.795,1582379272525.2212,,7867417229003.643,1224900581565.9097,5180007193390.982,828352242175.2188,96445772587.32532,,2333652150089.7563,694868960872.1191,,,1277327089175.321,10910413057689.404,902379314849.2942,2284206382088.2617,,,1975469691449.1245,523513369983.6002,794447043307.0496,1031345445484.0615,592318555078.924,224024930120.91522
2023-03-31,1992695658212.606,1343547621179.5586,716922494975.7332,615535236296.499,2573491138622.92,,2634498196432.007,,,2013985655139.6826,,334857942360.62305,697215775010.5323,4387823699815.896,,323390481838.6981,997299184427.7188,707373350185.4458,1089636212060.8682,735622314378.1104,150912218401.16968,778812415636.4526,,642302437846.041,1056992537269.9902,2644684935038.605,4321307473154.7515,1062889834118.6979,,893281929954.9917,203991239080.7807,5693860416254.162,5977682367205.27,,,735402805965.7301,810626168914.9673,5433004267525.274,953426105711.5098,4367005860733.5635,,1639025354314.082,3431849972778.577,2956493894154.353,1357021998540.1611,,1404286809976.8806,2431998625550.4785,426333225810.7903,92320860979.68312,1577534065563.0488,1671991398548.1548,,7199911976903.002,1098019304099.6273,4420773893073.377,933096626785.125,89180714490.34918,,2308207396038.702,642229427958.6548,,,1184729345626.3123,10984354303098.238,978613665291.2659,2211568958256.5625,,,2163770829916.2036,524609915020.669,735086319554.3372,961696454655.4324,432759374261.23816,198080778233.93002
2023-06-30,2718533342167.1367,1571795359228.5425,835198632492.6926,727950476119.3374,3153848187998.6987,,3033053152480.7153,,,2431103037114.297,,429059296954.3766,898768794308.3171,5153215253979.215,,342551574474.0773,1179250248423.5156,797350668110.8044,1178123026806.2305,933705104438.6914,168465938545.61945,946141655232.334,,641691590461.7576,1122993927900.2598,2944432631702.8125,4630272550825.973,1391281098555.8008,,927660207832.4202,235907905838.0516,6004472824580.352,6381089524942.285,,,1011085030525.2368,1141353634509.9766,5151576737794.093,1117430145882.48,5258448165187.29,,1869360614039.2285,3658235708639.7383,3382044136016.3555,1482097927959.375,,1761690991777.5474,2871022875250.7227,579677166039.4453,107803009950.02637,1704115241318.309,1774380658579.4219,,7876971633155.703,1303335836795.583,4929167647501.285,852989191680.6562,124772044290.0415,,2469037525358.9453,788466204181.1646,,,1311200322839.7522,11398623952442.725,1004939181721.3691,2680062124581.6797,,,2354708091267.307,502606445767.1263,854522551945.771,1024797101958.2286,467279639677.5,165510616442.35474
2023-09-30,2749333411516.342,1766230805207.2798,837896051063.3623,734949587459.9839,2965295334340.166,,3189671733927.3955,,,2454706281636.8184,,468015931424.05005,993004833173.0753,5479605937818.022,,329181687589.5868,1064858507442.7031,939521518732.3907,1531927915629.49,988928726186.8701,184100573194.46484,921313899468.0029,,759889932270.255,1264429212262.2805,3086961000704.9297,5631988505389.102,1362041476862.1965,,1092767121234.8663,219626548377.58926,5527931432358.316,6558733232736.792,,,917095560702.8269,1098103685580.4133,5537380986967.456,1148077624513.285,5187692642904.931,1466592292578.345,1886577284018.0603,3441950493337.5723,4085053231137.6323,1497547454461.0972,,1903413659245.8137,3141260038925.996,549688110895.30273,105978855674.77734,2243196672174.529,2129601934063.806,,7874976985539.882,1302002145001.8267,5150307264242.116,909359511403.1484,138201494708.5056,,2730000349854.795,803120024783.9539,,,1509051092166.878,12211607816181.004,1116052311977.7485,2777983680910.6055,,,2354091531661.3354,457574522839.1367,684203548332.0664,1017278584636.3698,496075765167.0,246889369717.1631
2023-12-31,3244837570636.619,2192617630781.8752,1027448393928.1887,815965361358.9829,3197270856507.1826,,3393991960200.5933,,,2686670333532.129,,447846326232.7813,1322570276136.8613,6125346821715.784,,448223205335.97186,1252921957283.918,987195386328.6997,2040728581478.7253,1025371871756.6797,191078290915.7798,1107595881295.5322,,990178142044.4148,1389674338618.7283,3700238380888.702,6315942165668.71,1382296957164.4434,,1363823829820.9746,343632167585.98474,6016441628701.843,6878232460294.324,,,1143205963787.349,1229900754825.8562,6029010439464.875,1722790651780.0044,5396343414619.019,1477693283978.0012,2130143394517.54,3784124326952.9023,4764421045864.726,1816846108039.5557,,2117911301342.7446,3174419319299.6426,664996165194.7388,125886617827.88232,2869927614054.524,2344256019373.409,,8680775803102.819,1429084857235.118,5524609323548.267,1023214284883.0547,149428360085.28796,,2967504051577.5586,995359548178.6011,,,1644454001003.9744,13014631797548.139,1174867474101.347,3242612723295.176,,,2995229399126.369,436041603578.3132,829758241131.2054,1181300309254.42,616935790506.7397,256361806579.11438
2024-03-31,3641366754501.9126,2872225373002.1484,1336802682028.393,910153649271.8057,2675120673608.218,,3227005559276.3975,,,2619814054745.9795,,443501493706.7969,1457469357812.9565,7327372617823.058,,599156041816.1272,1152659000124.7734,1185759859205.0698,2383205545113.0244,904919133034.9219,202953419788.48462,1074514231207.2314,,1140473787482.0217,1545042871844.7188,3925764753365.329,5353332062470.807,1353940951869.6067,,1242713480403.2322,421549944150.22046,5113958806469.9375,7553704945861.361,,,1367392453478.8506,1195459160597.9111,5854347597029.256,2225630505904.7334,5079389575500.4375,2243975205585.175,2009025958283.9976,3541463607825.9824,5086322554106.093,1426234572381.788,,2352982878999.9272,3882492295168.1016,794577545284.9512,1245473432728.1982,3127531706247.1533,3109362394326.7803,,9979559831841.205,1499594411740.8403,6473700731211.844,918772851709.9688,172556310377.68253,,3840091100574.424,1029714000020.5938,,,1863672244933.928,13391699939453.96,1152904856221.3743,3354083639052.832,,,2780285850282.0557,338586581456.5985,871799891339.1506,1206132065411.1233,667414886807.3523,129300796003.2138
