symbol,report_date,total_shares
Axis Bank Limited,2018-06-30,2567940686
Bajaj Auto Limited,2025-09-30,279257608
Bajaj Auto Limited,2025-03-31,279257608
Bajaj Auto Limited,2025-06-30,279257608
Bajaj Auto Limited,2024-12-31,279257608
Bajaj Auto Limited,2024-06-30,279179756
Bajaj Auto Limited,2024-03-31,279179756
Bajaj Auto Limited,2023-03-31,282957358
Bajaj Auto Limited,2024-09-30,279257608
Bajaj Auto Limited,2023-09-30,282957358
Bajaj Auto Limited,2023-06-30,282957358
Bajaj Auto Limited,2023-12-31,283179756
Bajaj Auto Limited,2022-12-31,282957358
Bajaj Auto Limited,2022-09-30,283679761
Bajaj Auto Limited,2021-12-31,289367020
Bajaj Auto Limited,2022-06-30,289367020
Bajaj Auto Limited,2021-09-30,289367020
Bajaj Auto Limited,2020-06-30,289367020
Bajaj Auto Limited,2020-03-31,289367020
Bajaj Auto Limited,2019-09-30,289367020
Bajaj Auto Limited,2021-06-30,289367020
Bajaj Auto Limited,2021-03-31,289367020
Bajaj Auto Limited,2020-09-30,289367020
Bajaj Auto Limited,2019-06-30,289367020
Bajaj Auto Limited,2020-12-31,289367020
Bajaj Auto Limited,2019-12-31,289367020
Bajaj Auto Limited,2019-03-31,289367020
Bajaj Auto Limited,2018-12-31,289367020
Bajaj Auto Limited,2018-09-30,289367020
Bajaj Auto Limited,2018-06-30,289367020
Bajaj Auto Limited,2018-03-31,289367020
Bajaj Finserv Limited,2025-09-30,1597813220
Bajaj Finserv Limited,2024-06-30,1596662097
Bajaj Finserv Limited,2025-06-30,1597813220
Bajaj Finserv Limited,2023-09-30,1595488813
Bajaj Finserv Limited,2023-12-31,1595488813
Bajaj Finserv Limited,2024-03-31,1595488813
Bajaj Finserv Limited,2023-03-31,1592815460
Bajaj Finserv Limited,2024-09-30,1596662097
Bajaj Finserv Limited,2024-12-31,1596662097
Bajaj Finserv Limited,2023-06-30,1592815460
Bajaj Finserv Limited,2025-03-31,1596662097
Bajaj Finserv Limited,2022-12-31,1592815460
Bajaj Finserv Limited,2022-06-30,159137444
Bajaj Finserv Limited,2022-09-30,1592815460
Bajaj Finserv Limited,2022-03-31,159137444
Bajaj Finserv Limited,2021-09-30,159137444
Bajaj Finserv Limited,2021-03-31,159137444
Bajaj Finserv Limited,2021-06-30,159137444
Bajaj Finserv Limited,2021-12-31,159137444
Bajaj Finserv Limited,2020-09-30,159137444
Bajaj Finserv Limited,2020-12-31,159137444
Bajaj Finserv Limited,2020-06-30,159137290
Bajaj Finserv Limited,2019-09-30,159137290
Bajaj Finserv Limited,2020-03-31,159137290
Bajaj Finserv Limited,2019-12-31,159137290
Bajaj Finserv Limited,2019-06-30,159136111
Bajaj Finserv Limited,2019-03-31,159136111
Bajaj Finserv Limited,2018-12-31,159136111
Bajaj Finserv Limited,2018-09-30,159136111
Bajaj Finserv Limited,2018-06-30,159135097
Bajaj Finance Limited,2025-06-30,6214286520
Bajaj Finance Limited,2024-06-30,618996320
Bajaj Finance Limited,2025-09-30,6222481865
Bajaj Finance Limited,2025-06-24,6214286520
Bajaj Finance Limited,2024-09-30,618996320
Bajaj Finance Limited,2023-12-31,618023077
Bajaj Finance Limited,2025-03-31,621428652
Bajaj Finance Limited,2023-11-09,618023077
Bajaj Finance Limited,2024-12-31,618996470
Bajaj Finance Limited,2024-03-31,618996320
Bajaj Finance Limited,2023-09-30,605918538
Bajaj Finance Limited,2023-06-30,605918538
Bajaj Finance Limited,2023-03-31,605429233
Bajaj Finance Limited,2022-12-31,605429233
Bajaj Finance Limited,2022-06-30,605429233
Bajaj Finance Limited,2021-12-31,603594345
Bajaj Finance Limited,2021-03-31,602587339
Bajaj Finance Limited,2020-12-31,602587339
Bajaj Finance Limited,2022-03-31,605429233
Bajaj Finance Limited,2021-06-30,603594345
Bajaj Finance Limited,2022-09-30,605429233
Bajaj Finance Limited,2020-09-30,602587339
Bajaj Finance Limited,2019-12-31,601689069
Bajaj Finance Limited,2019-11-07,601689069
Bajaj Finance Limited,2020-03-31,601689069
Bajaj Finance Limited,2019-06-30,579894198
Bajaj Finance Limited,2019-03-31,577968388
Bajaj Finance Limited,2019-09-30,579894198
Bajaj Finance Limited,2018-12-31,577968388
Bajaj Finance Limited,2018-06-30,577968388
Bajaj Finance Limited,2018-03-31,577968388
Bajaj Finance Limited,2018-09-30,577968388
Bharat Electronics Limited,2025-09-30,7309778829
Bharat Electronics Limited,2025-06-30,7309778829
Bharat Electronics Limited,2025-03-31,7309778829
Bharat Electronics Limited,2024-06-30,7309778829
Bharat Electronics Limited,2024-03-31,7309778829
Bharat Electronics Limited,2024-12-31,7309778829
Bharat Electronics Limited,2023-03-31,7309778829
Bharat Electronics Limited,2024-09-30,7309778829
Bharat Electronics Limited,2022-12-31,7309778829
Bharat Electronics Limited,2023-09-30,7309778829
Bharat Electronics Limited,2023-06-30,7309778829
Bharat Electronics Limited,2022-09-30,7309778829
Bharat Electronics Limited,2023-12-31,7309778829
Bharat Electronics Limited,2022-09-19,7309778829
Bharat Electronics Limited,2022-06-30,2436592943
Bharat Electronics Limited,2022-03-31,2436592943
Bharat Electronics Limited,2021-12-31,2436592943
Bharat Electronics Limited,2021-06-30,2436592943
Bharat Electronics Limited,2021-09-30,2436592943
Bharat Electronics Limited,2020-03-31,2436592943
Bharat Electronics Limited,2019-12-31,2436592943
Bharat Electronics Limited,2021-03-31,2436592943
Bharat Electronics Limited,2020-09-30,2436592943
Bharat Electronics Limited,2020-12-31,2436592943
Bharat Electronics Limited,2020-06-30,2436592943
Bharat Electronics Limited,2019-09-30,2436592943
Bharat Electronics Limited,2019-06-30,2436592943
Bharat Electronics Limited,2019-03-31,2436592943
Bharat Electronics Limited,2018-12-31,2436592943
Bharat Electronics Limited,2018-09-30,2436592943
Bharat Electronics Limited,2018-06-30,2436592943
Bharti Airtel Limited,2025-06-30,6094392981
Bharti Airtel Limited,2024-12-31,6088120683
Bharti Airtel Limited,2025-09-30,6094392981
Bharti Airtel Limited,2024-03-31,6047374739
Bharti Airtel Limited,2025-03-31,6094392981
Bharti Airtel Limited,2024-06-30,6083160811
Bharti Airtel Limited,2024-09-30,6085442148
Bharti Airtel Limited,2023-09-30,5997632401
Bharti Airtel Limited,2023-12-31,6017220484
Bharti Airtel Limited,2023-06-30,5973548138
Bharti Airtel Limited,2023-03-31,5967422312
Bharti Airtel Limited,2022-12-31,5956708229
Bharti Airtel Limited,2022-06-30,5884314930
Bharti Airtel Limited,2022-09-30,5955519312
Bharti Airtel Limited,2021-12-31,5884314930
Bharti Airtel Limited,2021-11-06,5884314930
Bharti Airtel Limited,2021-09-30,5492027268
Bharti Airtel Limited,2020-12-31,5455557355
Bharti Airtel Limited,2021-06-30,5492027268
Bharti Airtel Limited,2021-03-31,5492027268
Bharti Airtel Limited,2020-06-30,5455557355
Bharti Airtel Limited,2020-03-31,5455557355
Bharti Airtel Limited,2020-09-30,5455557355
Bharti Airtel Limited,2019-06-30,5130991182
Bharti Airtel Limited,2019-12-31,5131961850
Bharti Airtel Limited,2020-01-15,5455557355
Bharti Airtel Limited,2019-09-30,5131961850
Bharti Airtel Limited,2019-05-28,5130991182
Bharti Airtel Limited,2018-09-30,3997400107
Bharti Airtel Limited,2018-06-30,3997400107
Bharti Airtel Limited,2019-03-31,3997400107
Bharti Airtel Limited,2018-12-31,3997400107
Bharti Airtel Limited,2018-03-31,3997400102
Cipla Limited,2025-03-31,807617120
Cipla Limited,2025-09-30,807765695
Cipla Limited,2025-06-30,807794617
Cipla Limited,2024-12-31,807614040
Cipla Limited,2024-09-30,807566979
Cipla Limited,2023-12-31,807350398
Cipla Limited,2024-06-30,807517999
Cipla Limited,2024-03-31,807367062
Cipla Limited,2023-06-30,807224436
Cipla Limited,2023-09-30,807325429
Cipla Limited,2023-03-31,807150593
Cipla Limited,2022-12-31,807139168
Cipla Limited,2022-09-30,807001603
Cipla Limited,2022-06-30,806907203
Cipla Limited,2022-03-31,806814036
Cipla Limited,2021-12-31,806790214
Cipla Limited,2021-09-30,806653624
Cipla Limited,2021-06-30,806596753
Cipla Limited,2020-09-30,806337456
Cipla Limited,2021-03-31,806463279
Cipla Limited,2020-12-31,806455229
Cipla Limited,2019-12-31,806227596
Cipla Limited,2020-03-31,806235329
Cipla Limited,2019-06-30,805828425
Cipla Limited,2019-09-30,806077497
Cipla Limited,2019-03-31,805701266
Cipla Limited,2018-12-31,805667509
Cipla Limited,2018-09-30,805227852
Cipla Limited,2018-06-30,805191188
Cipla Limited,2018-03-31,805119164
Coal India Limited,2025-09-30,6162728327
Coal India Limited,2025-06-30,6162728327
Coal India Limited,2024-09-30,6162728327
Coal India Limited,2024-12-31,6162728327
Coal India Limited,2025-03-31,6162728327
Coal India Limited,2024-06-30,6162728327
Coal India Limited,2023-09-30,6162728327
Coal India Limited,2023-06-30,6162728327
Coal India Limited,2022-06-30,6162728327
Coal India Limited,2022-12-31,6162728327
Coal India Limited,2024-03-31,6162728327
Coal India Limited,2023-12-31,6162728327
Coal India Limited,2022-03-31,6162728327
Coal India Limited,2022-09-30,6162728327
Coal India Limited,2023-03-31,6162728327
Coal India Limited,2021-12-31,6162728327
Coal India Limited,2021-09-30,6162728327
Coal India Limited,2021-06-30,6162728327
Coal India Limited,2021-03-31,6162728327
Coal India Limited,2020-12-31,6162728327
Coal India Limited,2020-09-30,6162728327
Coal India Limited,2019-03-31,6162728327
Coal India Limited,2018-12-31,6207409177
Coal India Limited,2020-06-30,6162728327
Coal India Limited,2018-09-30,6207409177
Coal India Limited,2020-03-31,6162728327
Coal India Limited,2019-12-31,6162728327
Coal India Limited,2019-09-30,6162728327
Coal India Limited,2019-06-30,6162728327
Coal India Limited,2018-06-30,6207409177
