,2018-03-31,2018-06-30,2018-09-06,2018-09-30,2018-12-31,2019-02-14,2019-03-08,2019-03-23,2019-03-31,2019-05-28,2019-06-30,2019-07-03,2019-07-06,2019-09-04,2019-09-09,2019-09-26,2019-09-30,2019-10-16,2019-11-07,2019-11-23,2019-12-10,2019-12-12,2019-12-31,2020-01-15,2020-03-11,2020-03-31,2020-04-21,2020-05-30,2020-06-11,2020-06-30,2020-08-11,2020-08-15,2020-08-28,2020-09-04,2020-09-30,2020-12-31,2021-01-19,2021-01-23,2021-02-06,2021-02-18,2021-03-24,2021-03-31,2021-04-23,2021-05-14,2021-05-15,2021-06-30,2021-08-01,2021-08-03,2021-09-30,2021-10-30,2021-11-06,2021-12-08,2021-12-27,2021-12-31,2022-01-01,2022-02-21,2022-03-14,2022-03-31,2022-05-12,2022-06-30,2022-07-12,2022-08-10,2022-09-07,2022-09-19,2022-09-30,2022-10-19,2022-12-31,2023-03-18,2023-03-31,2023-06-30,2023-07-14,2023-08-10,2023-09-30,2023-10-07,2023-11-09,2023-11-22,2023-11-24,2023-12-31,2024-01-19,2024-01-21,2024-01-30,2024-02-08,2024-02-09,2024-03-29,2024-03-31,2024-04-12,2024-06-25,2024-06-30,2024-08-23,2024-09-10,2024-09-30,2024-11-01,2024-11-08,2024-12-10,2024-12-27,2024-12-31,2025-01-27,2025-03-31,2025-06-13,2025-06-24,2025-06-30,2025-07-21,2025-08-14,2025-08-28,2025-09-30
HDFCBANK,,0.033733155621191065,0.029203525547029218,0.030834340742989658,0.0336949010641155,0.033629821255516626,0.03322079400046696,0.03438163892601196,0.03444224118568446,0.034176861453032725,0.03456220949418813,0.03505187528251417,0.03513470936620389,0.03406729029316289,0.03362501450207215,0.03549403697099776,0.06811704019309657,0.06771783110316401,0.06751500016775817,0.06837457952161068,0.06730530619418962,0.06765568626905435,0.06666722712122904,0.06594344748873732,0.06510427870559461,0.05855626998896446,0.06011025485559677,0.058704085896137376,0.057941329105918274,0.06170279643905869,0.05638742009899833,0.05515807047284386,0.057468811238557585,0.05894411389400567,0.05669236000706513,0.061881832038493075,0.061869427722617984,0.05966823642697247,0.06498375112304947,0.062572734219487,0.0608828876457764,0.06109455403768166,0.05944801560370019,0.057194153861720214,0.057194153861720214,0.05741018156859174,0.05480818199593938,0.053716360723251866,0.05449849193723581,0.05483247049910202,0.05402169843099473,0.05345070192078898,0.050141950579807214,0.05027407693903492,0.05027407693903492,0.051874127735691083,0.05031884652839856,0.04981366527581176,0.04808796744938896,0.050123661379348684,0.05147660061165922,0.04968646680291041,0.049982674085846814,0.05051111782642995,0.0470357528093776,0.047212294490814224,0.05119319292843663,0.05316791828963609,0.05377485668138617,0.05197009863527586,0.06502454580327297,0.06553831091344378,0.060858280138168123,0.06077391319353384,0.06020588171397624,0.06000830416999361,0.06091416276783707,0.06214044897496521,0.052850970657439975,0.052850970657439975,0.05222601090566567,0.04980370934324553,0.04966904896367075,0.050533710629507705,0.050536871893579145,0.052816618520753415,0.057476353373867736,0.05570608333916341,0.05107906261874513,0.05152875009604304,0.05297367240467147,0.052144678559258716,0.052770019102476126,0.05494984773499969,0.05472799132614724,0.05442557973487123,0.051171828188441904,0.05713587586169595,0.05784869441844805,0.05743216965475322,0.05759672756618691,0.058709333270362526,0.06002843452301492,0.10888050633823637,0.10799301592989537
HDFCLIFE,0.030696056305501655,,,,,,,,,,,0.019924915980866067,0.01988054429272928,0.023973537008823924,0.023433184029990846,0.024012179353003742,0.024607496946206387,0.024977052968541448,0.02286278930906414,0.0233838790033257,0.022667378031546167,0.023020850435500975,0.0241844940556753,0.023336042893442595,0.022126966051171607,0.022079114958775656,0.023837053662638424,0.023765164484299797,0.022096669652002607,0.023377080017228453,0.023670552915127305,0.023051615718279718,0.022352935353238765,0.022259043667138923,0.02157729199516181,0.021384461483578046,0.02108538838141362,0.020846513392242846,0.02033981393512784,0.02107299923358085,0.02043459887190456,0.02087860888941232,0.02115443269172836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,0.09690186245037156,0.0873009715379416,0.07610983647803839,0.07878012028432088,0.09200814349014312,0.09057524733296472,0.08456939641040898,0.08070283763986423,0.08007805735979136,0.07991427283486932,0.08010935649263318,0.07961710257391771,0.08066374903041451,0.08868100166521159,0.08686333919467602,0.09207326336079254,0.08704561157888853,0.09089377438206586,0.09041011190891246,0.08678308677677267,0.08634065613492244,0.08505894928268595,0.07966650013591513,0.08206034822131295,0.09957604666719197,0.12330387468575633,0.12952157276942006,0.1087571611968519,0.10800565551699043,0.10801537466357393,0.10002315785433206,0.09921091159402107,0.09497397662669314,0.09576385347748517,0.09281708515128037,0.088053166392095,0.08294912704782906,0.08496894579056817,0.07876358204585299,0.07373963031401772,0.08144428201329676,0.08477650713668816,0.08269480611150197,0.08355482722731584,0.08355482722731584,0.08053525621655473,0.07622789422773027,0.07598451874294546,0.07834350155163512,0.07035262567191548,0.06968389962609861,0.0683278646955274,0.0674991185152821,0.06800213696667608,0.06800213696667608,0.06630968543784141,0.06090373206980012,0.058813079805216883,0.06688425668338434,0.07016941097241242,0.07664653888073042,0.07576223731756768,0.07316042803551316,0.07335171297571796,0.07528175766231017,0.07053403412876051,0.06785417599772955,0.06972093887118892,0.07204142002763862,0.06874684395341402,0.06598824344542889,0.06335951724803587,0.06093284650115484,0.0613709000055046,0.062207804428179206,0.062012396626510334,0.06198016971597308,0.05994227836967279,0.057060699855276106,0.057060699855276106,0.055025564669873565,0.05310220520252006,0.05309337718157673,0.04891303099741818,0.04888759256825512,0.04801367984357981,0.05052832985870584,0.05053471736190273,0.05466281309850137,0.0558993410356058,0.05571797736741457,0.04690235950882289,0.046448887509085345,0.043426148894750494,0.04387940273498182,0.04388903183139859,0.046160299305258105,0.04335182441493167,0.04296067205449758,0.040704114032075474,0.04046637698894323,0.04433155661901365,0.04583168324584928,0.046175349383972365,0.04366626490190875
ICICIBANK,0.06007462699779596,0.0435289587429877,0.0462029726588466,0.044491272712890335,0.0541845288949442,0.05192875978321672,0.05480430470785044,0.05606628801869003,0.056723339966626145,0.05816463703047568,0.05838620164374646,0.05796880641657494,0.05856488849588743,0.056899887091814885,0.05582560497155055,0.06096830110113185,0.05683738640310575,0.05700765296951093,0.06037766352453889,0.06342555059251176,0.0672535251661802,0.06769010239038394,0.06671836173010068,0.06496936842235147,0.06429954850043366,0.05192843123174139,0.051097926158969124,0.04834400985776364,0.04819428854706026,0.04799693134145759,0.045812233964550454,0.04840424741888104,0.0530656962930159,0.04928039991261657,0.046727522473926454,0.05779056823228756,0.056359436807834874,0.05531393238114803,0.06262616587695212,0.06506072435564342,0.05857283852057356,0.05974001781702161,0.06011637186962726,0.06180573565360768,0.06180573565360768,0.06059703312873103,0.06571677436899752,0.06477851989478627,0.05997800734676111,0.0695871486721512,0.06638735580469934,0.06491027623312924,0.06370903438367544,0.06302017218278867,0.06302017218278867,0.06442277702852794,0.060842068920048585,0.062004494738909136,0.06435078378581165,0.06586546855538974,0.07039666764612228,0.07203734273652634,0.07400298711015645,0.07571161973739958,0.0713695229695235,0.07224303560839279,0.07008757017960694,0.07074118580615152,0.07335750481840261,0.07144000987256202,0.07047354848368428,0.07170718735277644,0.07011604616173206,0.06917476849667914,0.07017307413073784,0.06762884605834932,0.06826218363620039,0.06695032083611088,0.06635276975528685,0.06635276975528685,0.06794706142150092,0.0648902612359464,0.06608878314814362,0.07050906787144556,0.07054783793319216,0.07099505435741835,0.07438127306565963,0.0734071773029081,0.06997005927718399,0.07145597619998278,0.07190254492632836,0.07160554812117041,0.06992564122711985,0.07227384077284356,0.07349096921145117,0.0726336841972572,0.07117292558222812,0.07843824165427474,0.07951873879417391,0.07763906060068922,0.07743370639035504,0.08006135243336429,0.08008641049507373,0.07391406430317006,0.07117587782977787
INDUSINDBK,0.036209708191062805,0.028510614637890293,0.02467370115467234,0.022994455043746538,0.022492458439333143,0.02141689005261615,,0.022721844598940305,0.024111495164419537,,,,0.022083263539944786,,,0.022419757046188225,0.01945141958409881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,0.04149919471052507,0.035081349355325656,0.0694309365941146,0.07216197306561753,0.06724352007748559,0.07578438952947669,0.07145107108339427,0.07212581143788996,0.07069625195085721,0.06598008877788698,0.06508388316090405,0.06472710688393093,0.0641445472393099,0.07758705877334093,0.07724350068743843,0.06966890434840908,0.06960302571908514,0.0666023152299201,0.059893379556365305,0.05834159001562627,0.059920493128838515,0.05852256754911569,0.05958600951896396,0.06128799274940968,0.06235525648512428,0.06770318732873591,0.06415335708909653,0.0662163224102386,0.0654156653257071,0.06610222950443133,0.07779178677357636,0.07889052322654676,0.07482364847229489,0.07509989796392638,0.08202701065885529,0.08368915368754629,0.0837862262858224,0.08572791030709391,0.08003660695038083,0.0804812474758207,0.08620946481208351,0.08649524064575978,0.08667007703750766,0.08391635557548716,0.08391635557548716,0.09338175303205429,0.09537368800231907,0.09551574167096265,0.0869436903675736,0.08775320807811464,0.08796164723978578,0.09161379779199708,0.09796573722761849,0.09735649990206328,0.09735649990206328,0.08951408953302144,0.10008854812682441,0.09801124656312377,0.08447702700123987,0.08235463637621303,0.08061030160880095,0.08226540230140454,0.07446532924490908,0.07080592907391979,0.07067135772641793,0.07264369971176515,0.07119235396236977,0.07210685756552125,0.07094159660832647,0.06055328165430193,0.062088994603032514,0.06128471509156273,0.06266324160693709,0.06413613380053196,0.060996791493986124,0.06332053943571672,0.06256822972025725,0.06132641573752972,0.06519035685584815,0.06519035685584815,0.06528837274779282,0.06566826537445378,0.06458488435160765,0.05716233166649868,0.057138383217267226,0.056417301006652064,0.056591667905984015,0.05657501056681384,0.06388398596799058,0.06516920555745945,0.062427180896556404,0.057516358106001635,0.05989896804324546,0.0623751789184054,0.06348319444686497,0.06266695995992551,0.0621147410469027,0.05328396760366645,0.05246020604677548,0.05028383062290113,0.049945721787376635,0.0503794944015639,0.047292283759250785,0.046138844854111356,0.04427237924522329
IOC,,,,,,,0.021427401758076517,0.02189901678545506,0.022239409745083455,0.021312674447500717,0.02025495588286849,0.02019553758796882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048943793974206104,0.04991029282811542,0.04640532213492999,0.05651793698353666,0.05707656457319392,0.0613735570120126,0.061718194997118635,0.05973796059254832,0.058291986630619935,0.05762386060244324,0.05791182783453076,0.05738694861236354,0.057261401629545496,0.05520934367584311,0.05568434844124654,0.05568434844124654,0.05205481574647584,0.04835854720254681,0.04831937770013856,0.049130275896539594,0.049140592996922576,0.0491550805007041,0.046727275917646416,0.0461349654599852,0.05217787167200507,0.052629581869095124,0.05195056380262754,0.048242759660881554,0.047136211840420356,0.0448822398689057,0.04774932507091243,0.048578393265840104,0.04520941244476933,0.04188388122249627,0.040838870976929766,0.039692630535051364,0.0391270349532124,0.04025252468242289,0.040499799629120654,0.03715409018038181,0.03718010328251636
JSWSTEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023424211116646866,0.025572833314485958,0.025572833314485958,0.022928601895653836,0.024768844724240964,0.024245553459886673,0.01993632780440333,0.020237545841617775,0.02012789654229363,,,,,,,0.021638476638407282,0.02010104665276966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,,0.06290702253174732,0.05253417218123535,0.049260711384363755,0.055987104652805604,0.05753833835123019,0.054259918545935835,0.056631586669448286,0.05622074272849378,0.05992076792180001,0.05838312455756097,0.05803603275278783,0.060255013363326164,0.06041973870688411,0.061459797771896967,0.0649395431148741,0.06372274296115787,0.06217237976605438,0.05909262837067084,0.059232821707454614,0.06252740516142011,0.06414053113820573,0.061599504959881084,0.060040756936901425,0.06482789731713366,0.06143997332055043,0.051431757286062724,0.05449597255147567,0.05607183210282672,0.056771427582872847,0.05200009229345985,0.050253131908492246,0.05453186224531883,0.052387447139828874,0.04794222357028013,0.06183363429663152,0.05583117676445274,0.05434015128905922,0.05799987042092755,0.05632531513173831,0.052775994564223196,0.05155405334889962,0.052416533786154164,0.0506050524451649,0.0506050524451649,0.04690954621592522,0.04561930754280287,0.04528216833863219,0.04908197643650943,0.05039668998554701,0.04993324567786438,0.04731765644094353,0.043901013934714704,0.043695924483313234,0.043695924483313234,0.04457813358263771,0.044668500682559564,0.04252974702515743,0.04651388368640641,0.04415552865611804,0.045449872138311725,0.044290544377444556,0.045999706128022504,0.04636868791228878,0.04292472508491811,0.04314143970604352,0.04092249739932751,0.040770546771923676,0.041224224657425784,0.040089520819936,0.038966880175508756,0.03804277528644794,0.03628417879304769,0.03622114261976309,0.03707389979412405,0.03630961707905245,0.03635302411672681,0.03632088379248819,0.03319728470365511,0.03319728470365511,0.03452593831811236,0.03214739476080402,0.03228414494530524,0.032627887158549015,0.03261532507400405,0.032993546236363254,0.031320290584186984,0.031163457185384325,0.02986264746796617,0.0292329642741424,0.02954618455282034,0.027282552704644674,0.027361791234526436,0.027508188112197456,0.027909444525266804,0.028506455431055736,0.03071116339376188,0.03526083252388219,0.03303619699171593,0.03384262182263093,0.0322877845465212,0.03295381760602523,0.03092952637554632,0.028627964658592207,0.029289171410914826
