,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
HCLTECH,,,,,,,,7.16086421398761,7.0515566239760314,6.915334168499975,6.855258097150195,6.831655551915133,6.7942960017572975,6.771274704741447,6.776867942260336,6.7522237394281195,6.753981223960227,6.736250631943284,6.447104535530343,6.447746120875956,6.430441894086417,6.427604844010571,6.327590846491121,6.333818375991099,6.293615275068071,6.217692316395237,6.18018472113676,5.754052057555422,5.7055104598528565,5.670354612301913,5.6453958320336035,5.6364886652023864
HDFCBANK,8.580613229908558,7.744587184476087,7.831014149313892,7.778251307476725,7.742969003404446,7.611822056497323,14.554351005607245,14.4528693640546,14.248517628488925,13.991082015431884,13.90345202705816,13.865533780496275,13.802526798699063,13.790549645813357,13.828744103487525,13.79076635890119,13.802174661794032,13.788311424485672,13.233065551152585,13.25053081333993,13.22204859479862,13.24477111975137,17.678905857817163,17.721206422460128,17.618988082268014,17.43213031301068,17.378570253631477,16.21747866295522,16.08887952550787,15.98974410198279,15.919363228673374,15.894246048524565
HDFCLIFE,6.628616278163067,5.985089829700993,,,,5.619401144405288,5.367789096313401,5.32673300278897,5.24592045050966,5.145534069610416,5.10155971542918,5.0865009184480225,5.05990644468581,,,,,,,,,,,,,,,,,,,
HINDUNILVR,7.132050055721138,6.437472722167843,6.238607780397995,6.191275936232116,6.154738158347902,6.029715416688744,5.759238590666299,5.712541761999435,5.625425697967505,5.987446170123548,5.93544670104665,5.91501105190457,5.882693211487331,5.862813170550597,5.867662050241003,5.846324191078175,5.847845885964483,5.832494085871501,5.582140738078264,5.58269624631843,5.567713608954557,5.56525718642921,5.478661381001424,5.484053405580493,5.449244078971514,5.383507182938977,5.351031724486917,4.982070357706861,4.9400412532408815,4.909602024636119,4.8879917927342404,4.880279639386116
ICICIBANK,21.180015003397557,19.127533036653247,18.54631674156227,18.421867326365643,18.328099244651575,17.972699891893058,17.18523747567793,17.071437965576205,16.819713829070164,16.50298284805596,17.42123213790154,17.380057797835978,17.31580639499002,17.279704247205185,17.31738410772517,17.276658499463775,17.294643862104007,17.26806676817785,16.554227654995827,16.577609868522195,16.546843190596892,16.572311819385913,16.32945577680635,16.372925319033886,16.28641608523669,16.121685240748857,16.047236837769393,14.968934387737852,14.973930935058231,14.881665530079047,14.816162004217384,14.792785427853852
INDUSINDBK,1.977715362242315,1.7856614452590265,1.7329605228837168,1.7220618132936936,1.7135733892567122,,1.843602553799305,1.8288851384562956,,,,,,,,,,,,,,,,,,,,,,,,
INFY,7.196583558444502,6.495444417013001,12.58986041820555,12.495099813863172,12.401382471584617,11.963170377915567,11.329025848316828,11.237526702060109,11.067145789106608,10.853762894820088,10.76012139055974,10.723518134599097,10.667562107605656,10.627486691278254,10.502356054505432,10.464546069753043,10.4700590494023,10.444762608739177,9.996924105116754,9.946262434295292,9.830643562609536,9.830172701919032,9.677661626648312,9.687334308445742,9.626819062794722,9.51334620639633,9.456227430630605,8.804466378138395,8.7322817100593,8.680584421291236,8.642643521048324,8.629007370458512
ITC,,,,,,,,,,,,,,,,,,,29.457872807480854,29.492002285130717,29.45007696785279,29.464203872641665,29.07906531530698,29.118640899545138,28.954948740976075,28.60565103519736,28.48519167084065,26.52981498158722,26.311073319840148,26.148951439766,26.03385353533938,25.992777960907038
JSWSTEEL,,,,,,,,,,,,,,6.031570972144748,6.0365531963979775,6.0146011615277395,6.016166655936115,,,,,,,,,,,,,,,
KOTAKBANK,6.2806409167744635,5.668705703317899,5.496064773524393,5.455910984428068,5.4270163360561225,5.318159461197205,5.081415109018282,5.042870564769445,4.971099117620814,5.042661137962843,4.999872820927549,4.985857860541769,4.96198966301345,4.947273111696018,4.952388377239674,4.9364000322214086,4.939580894750123,4.928531197425946,4.717701753136762,4.718996362357254,4.70744775716639,4.706923476046762,4.634344106999488,4.639271319335028,4.610447084174692,4.554898660546629,4.527805933038626,4.215720952175695,4.180260526548577,4.154706227818246,4.1369850321807835,4.1304577988465345
