,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
345,3233696431,2849886044,6088120683,0.4681,BHARTIARTL,31-12-24
346,3233696431,2847766860,6085442148,0.468,BHARTIARTL,30-09-24
347,3234475106,2845268952,6083160811,0.4677,BHARTIARTL,30-06-24
348,3234475106,2809781597,6047374739,0.4646,BHARTIARTL,31-03-24
349,3283475106,2730361174,6017220484,0.4538,BHARTIARTL,31-12-23
350,3283475106,2711662035,5997632401,0.4521,BHARTIARTL,30-09-23
351,3283475106,2687215859,5973548138,0.4499,BHARTIARTL,30-06-23
352,3283475106,2681026464,5967422312,0.4493,BHARTIARTL,31-03-23
353,3283475106,2670094104,5956708229,0.4482,BHARTIARTL,31-12-22
354,3283475106,2669368949,5955519312,0.4482,BHARTIARTL,30-09-22
355,3291240679,2590211081,5884314930,0.4402,BHARTIARTL,30-06-22
356,3291240679,2590006704,5884314930,0.4402,BHARTIARTL,31-12-21
357,3291240679,2590274282,5884314930,0.4402,BHARTIARTL,06-11-21
358,3067581205,2421797063,5492027268,0.441,BHARTIARTL,30-09-21
359,3067581205,2421206865,5492027268,0.4409,BHARTIARTL,30-06-21
360,3067581205,2421097274,5492027268,0.4408,BHARTIARTL,31-03-21
361,3067581205,2384610237,5455557355,0.4371,BHARTIARTL,31-12-20
362,3067581205,2386446687,5455557355,0.4374,BHARTIARTL,30-09-20
363,3067581205,2385798177,5455557355,0.4373,BHARTIARTL,30-06-20
364,3217581205,2235757117,5455557355,0.4098,BHARTIARTL,31-03-20
365,3217581205,2235665232,5455557355,0.4098,BHARTIARTL,15-01-20
366,3217581205,1912069362,5131961850,0.3726,BHARTIARTL,31-12-19
367,3217581205,1912840225,5131961850,0.3727,BHARTIARTL,30-09-19
368,3217581205,1911709591,5130991182,0.3726,BHARTIARTL,30-06-19
369,3217581205,1911688180,5130991182,0.3726,BHARTIARTL,28-05-19
370,2683781555,1313478552,3997400107,0.3286,BHARTIARTL,31-03-19
371,2683781555,1312143576,3997400107,0.3282,BHARTIARTL,31-12-18
372,2683781555,1311822170,3997400107,0.3282,BHARTIARTL,30-09-18
373,2683781555,1311856852,3997400107,0.3282,BHARTIARTL,30-06-18
374,2683781555,1311899506,3997400102,0.3282,BHARTIARTL,31-03-18
375,235287003,570101179,807765695,0.7058,CIPLA,30-09-25
376,235287003,570739407,807794617,0.7065,CIPLA,30-06-25
377,235287003,570589469,807617120,0.7065,CIPLA,31-03-25
378,235287003,570725315,807614040,0.7067,CIPLA,31-12-24
379,249185003,556673491,807566979,0.6893,CIPLA,30-09-24
380,249185003,557019664,807517999,0.6898,CIPLA,30-06-24
381,269635378,536036182,807367062,0.6639,CIPLA,31-03-24
382,269635378,536019518,807350398,0.6639,CIPLA,31-12-23
383,269635378,535994549,807325429,0.6639,CIPLA,30-09-23
384,269635378,535946662,807224436,0.6639,CIPLA,30-06-23
385,269635378,534110491,807150593,0.6617,CIPLA,31-03-23
386,269635378,532590684,807139168,0.6598,CIPLA,31-12-22
387,269635378,532535050,807001603,0.6599,CIPLA,30-09-22
388,269635378,532543177,806907203,0.66,CIPLA,30-06-22
389,269635378,532235993,806814036,0.6597,CIPLA,31-03-22
390,289805134,512813211,806790214,0.6356,CIPLA,31-12-21
391,289805134,512634534,806653624,0.6355,CIPLA,30-09-21
392,295674971,509544625,806596753,0.6317,CIPLA,30-06-21
393,295674971,509411151,806463279,0.6317,CIPLA,31-03-21
394,295485596,509593036,806455229,0.6319,CIPLA,31-12-20
395,295485596,509678590,806337456,0.6321,CIPLA,30-09-20
396,295485596,510155701,806235329,0.6328,CIPLA,31-03-20
397,295485596,510146662,806227596,0.6328,CIPLA,31-12-19
398,295485596,509993561,806077497,0.6327,CIPLA,30-09-19
399,295485596,509747491,805828425,0.6326,CIPLA,30-06-19
400,295485596,509620332,805701266,0.6325,CIPLA,31-03-19
401,295485596,509586575,805667509,0.6325,CIPLA,31-12-18
402,295485596,508820771,805227852,0.6319,CIPLA,30-09-18
403,295485596,508195338,805191188,0.6311,CIPLA,30-06-18
