"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"IndusInd Bank Limited","16.52","83.48","0","-","31-MAR-2022","11-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-APR-2022 16:10:22",,"::"
"IndusInd Bank Limited","16.53","83.47","0","-","31-DEC-2021","14-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164519_587377_14012022113857_WEB.xml","14-JAN-2022 11:40:12",,"::"
"IndusInd Bank Limited","16.54","83.46","0","-","30-SEP-2021","14-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161929_533425_14102021060439_WEB.xml","06-JAN-2022 21:06:51",,"::"
"IndusInd Bank Limited","16.54","83.46","0","Revised","30-JUN-2021","19-JUL-2021","14-JAN-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_159888_489627_19072021035050_WEB.xml","14-JAN-2022 13:10:13",,"::"
"IndusInd Bank Limited","16.55","83.45","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157630_439854_19042021052158_WEB.xml","19-APR-2021 17:40:16",,"::"
"IndusInd Bank Limited","16.56","83.44","0","-","18-FEB-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155631_413586_02032021051221_WEB.xml","02-MAR-2021 17:40:05",,"::"
"IndusInd Bank Limited","14.67","85.33","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155049_394150_19012021050841_WEB.xml","19-JAN-2021 17:10:16",,"::"
"IndusInd Bank Limited","14.68","85.32","0","Revised","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152546_345537_19102020055636_WEB.xml","27-NOV-2020 10:40:12",,"::"
"IndusInd Bank Limited","14.69","85.31","0","-","04-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150788_314727_08092020115523_WEB.xml","09-SEP-2020 07:10:03",,"::"
"IndusInd Bank Limited","13.62","86.38","0","-","02-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150783_314132_06092020041300_WEB.xml","06-SEP-2020 16:40:03",,"::"
"IndusInd Bank Limited","14.65","85.35","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149862_291033_18072020101159_WEB.xml","18-JUL-2020 22:40:02",,"::"
"IndusInd Bank Limited","14.34","85.66","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147579_251333_09052020085015_WEB.xml","09-MAY-2020 21:10:02",,"::"
"IndusInd Bank Limited","14.38","85.62","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144613_199546_14012020042311_WEB.xml","14-JAN-2020 16:40:03",,"::"
"IndusInd Bank Limited","14.38","85.62","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142117_151601_16102019081548_WEB.xml","16-OCT-2019 20:40:01",,"::"
"IndusInd Bank Limited","14.39","85.61","0","-","06-JUL-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138150_111541_08072019013412_WEB.xml","08-JUL-2019 13:40:05",,"::"
"IndusInd Bank Limited","16.78","83.22","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139090_119824_17072019074956_WEB.xml","17-JUL-2019 20:10:05",,"::"
"IndusInd Bank Limited","16.8","83.2","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136220_92782_12042019074659_WEB.xml","12-APR-2019 20:10:05",,"::"
"IndusInd Bank Limited","16.79","83.21","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133380_69921_11012019110714_WEB.xml","11-JAN-2019 23:10:04",,"::"
"IndusInd Bank Limited","16.74","83.26","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130954_49614_13102018072001_WEB.xml","13-OCT-2018 19:40:05",,"::"
