,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
317,3737921934,3571856895,7309778829,0.4886,BEL,2024-03-31
318,3737921934,3571856895,7309778829,0.4886,BEL,2023-12-31
319,3737921934,3571856895,7309778829,0.4886,BEL,2023-09-30
320,3737921934,3571856895,7309778829,0.4886,BEL,2023-06-30
321,3737921934,3571856895,7309778829,0.4886,BEL,2023-03-31
322,3737921934,3571856895,7309778829,0.4886,BEL,2022-12-31
323,3737921934,3571856895,7309778829,0.4886,BEL,2022-09-30
324,3737921934,3571856895,7309778829,0.4886,BEL,2022-09-19
325,1245973978,1190618965,2436592943,0.4886,BEL,2022-06-30
326,1245973978,1190618965,2436592943,0.4886,BEL,2022-03-31
327,1245973978,1190618965,2436592943,0.4886,BEL,2021-12-31
328,1245973978,1190618965,2436592943,0.4886,BEL,2021-09-30
329,1245973978,1190618965,2436592943,0.4886,BEL,2021-06-30
330,1245973978,1190618965,2436592943,0.4886,BEL,2021-03-31
331,1245973978,1190618965,2436592943,0.4886,BEL,2020-12-31
332,1245973978,1190618965,2436592943,0.4886,BEL,2020-09-30
333,1245973978,1190618965,2436592943,0.4886,BEL,2020-06-30
334,1245973978,1190618965,2436592943,0.4886,BEL,2020-03-31
335,1346744254,1089848689,2436592943,0.4473,BEL,2019-12-31
336,1362894613,1073698330,2436592943,0.4407,BEL,2019-09-30
337,1433326432,1003266511,2436592943,0.4117,BEL,2019-06-30
338,1433326432,1003266511,2436592943,0.4117,BEL,2019-03-31
339,1509060257,927532686,2436592943,0.3807,BEL,2018-12-31
340,1610405133,826187810,2436592943,0.3391,BEL,2018-09-30
341,1608441212,828151731,2436592943,0.3399,BEL,2018-06-30
342,3063629531,3027450218,6094392981,0.4968,BHARTIARTL,2025-09-30
343,3123629531,2966523270,6094392981,0.4868,BHARTIARTL,2025-06-30
344,3194629531,2895426773,6094392981,0.4751,BHARTIARTL,2025-03-31
345,3233696431,2849886044,6088120683,0.4681,BHARTIARTL,2024-12-31
346,3233696431,2847766860,6085442148,0.468,BHARTIARTL,2024-09-30
347,3234475106,2845268952,6083160811,0.4677,BHARTIARTL,2024-06-30
348,3234475106,2809781597,6047374739,0.4646,BHARTIARTL,2024-03-31
349,3283475106,2730361174,6017220484,0.4538,BHARTIARTL,2023-12-31
350,3283475106,2711662035,5997632401,0.4521,BHARTIARTL,2023-09-30
351,3283475106,2687215859,5973548138,0.4499,BHARTIARTL,2023-06-30
352,3283475106,2681026464,5967422312,0.4493,BHARTIARTL,2023-03-31
353,3283475106,2670094104,5956708229,0.4482,BHARTIARTL,2022-12-31
354,3283475106,2669368949,5955519312,0.4482,BHARTIARTL,2022-09-30
355,3291240679,2590211081,5884314930,0.4402,BHARTIARTL,2022-06-30
356,3291240679,2590006704,5884314930,0.4402,BHARTIARTL,2021-12-31
357,3291240679,2590274282,5884314930,0.4402,BHARTIARTL,2021-11-06
358,3067581205,2421797063,5492027268,0.441,BHARTIARTL,2021-09-30
359,3067581205,2421206865,5492027268,0.4409,BHARTIARTL,2021-06-30
360,3067581205,2421097274,5492027268,0.4408,BHARTIARTL,2021-03-31
361,3067581205,2384610237,5455557355,0.4371,BHARTIARTL,2020-12-31
362,3067581205,2386446687,5455557355,0.4374,BHARTIARTL,2020-09-30
363,3067581205,2385798177,5455557355,0.4373,BHARTIARTL,2020-06-30
364,3217581205,2235757117,5455557355,0.4098,BHARTIARTL,2020-03-31
365,3217581205,2235665232,5455557355,0.4098,BHARTIARTL,2020-01-15
366,3217581205,1912069362,5131961850,0.3726,BHARTIARTL,2019-12-31
367,3217581205,1912840225,5131961850,0.3727,BHARTIARTL,2019-09-30
368,3217581205,1911709591,5130991182,0.3726,BHARTIARTL,2019-06-30
369,3217581205,1911688180,5130991182,0.3726,BHARTIARTL,2019-05-28
370,2683781555,1313478552,3997400107,0.3286,BHARTIARTL,2019-03-31
371,2683781555,1312143576,3997400107,0.3282,BHARTIARTL,2018-12-31
372,2683781555,1311822170,3997400107,0.3282,BHARTIARTL,2018-09-30
373,2683781555,1311856852,3997400107,0.3282,BHARTIARTL,2018-06-30
