,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
15,GAIL,GAIL (India) Limited,EQ, Interim Dividend - Rs 6.25 Per Share,10,12-Feb-2019,13-Feb-2019,-,-,6.25
16,GAIL,GAIL (India) Limited,EQ, Annual General Meeting/Dividend- Rs 1.44 Per Share,10,30-Aug-2018,-,01-Sep-2018,11-Sep-2018,1.44
18,GAIL,GAIL (India) Limited,EQ, Interim Dividend - Rs 7.65 Per Share (Purpose Revised),10,18-Jan-2018,20-Jan-2018,-,-,7.65
19,GAIL,GAIL (India) Limited,EQ, Dividend - Rs 2.70 Per Share,10,31-Aug-2017,-,02-Sep-2017,12-Sep-2017,2.70
0,GRASIM,Grasim Industries Limited,EQ,Dividend - Rs 10 Per Share,2,12-Aug-2025,12-Aug-2025,-,-,10
1,GRASIM,Grasim Industries Limited,EQ,Annual General Meeting/Dividend - Rs 10 Per Share,2,06-Aug-2024,-,07-Aug-2024,20-Aug-2024,10
3,GRASIM,Grasim Industries Limited,EQ,Annual General Meeting/Dividend - Rs 10 Per Share,2,11-Aug-2023,-,12-Aug-2023,25-Aug-2023,10
4,GRASIM,Grasim Industries Limited,EQ,Annual General Meeting/Dividend - Rs 5 Per Share/Special Dividend - Rs 5 Per Share,2,11-Aug-2022,-,13-Aug-2022,29-Aug-2022,5
5,GRASIM,Grasim Industries Limited,EQ, Annual General Meeting/Dividend - Rs 5  Per Share/ Special Dividend - Rs 4 Per Share,2,12-Aug-2021,-,14-Aug-2021,27-Aug-2021,5
6,GRASIM,Grasim Industries Limited,EQ, Dividend - Rs 4 Per Share,2,26-Aug-2020,-,28-Aug-2020,14-Sep-2020,4
7,GRASIM,Grasim Industries Limited,EQ, Annual General Meeting/Dividend - Rs 7 Per Sh,2,08-Aug-2019,-,13-Aug-2019,23-Aug-2019,7
8,GRASIM,Grasim Industries Limited,EQ, Dividend Rs 6.20 Per Share,2,31-Aug-2018,-,04-Sep-2018,14-Sep-2018,6.20
9,GRASIM,Grasim Industries Limited,EQ, Annual General Meeting/Dividend - Rs 5.50 Per Share,2,08-Sep-2017,-,12-Sep-2017,22-Sep-2017,5.50
12,GRASIM,Grasim Industries Limited,EQ, Dividend - Rs 22.50 Per Share,2,07-Sep-2016,-,09-Sep-2016,23-Sep-2016,22.50
13,GRASIM,Grasim Industries Limited,EQ, Annual General Meeting / Dividend Rs 18/- Per Share,2,03-Sep-2015,-,05-Sep-2015,19-Sep-2015,18
14,GRASIM,Grasim Industries Limited,EQ,Dividend - Rs 21/- Per Share,2,20-Aug-2014,-,22-Aug-2014,06-Sep-2014,21
15,GRASIM,Grasim Industries Limited,EQ,Annual General Meeting / Dividend - Rs 22.50/- Per Share,2,31-Jul-2013,-,02-Aug-2013,17-Aug-2013,22.50
16,GRASIM,Grasim Industries Limited,EQ,Annual General Meeting/ Dividend Rs 22.50 Per Share,2,27-Aug-2012,-,29-Aug-2012,07-Sep-2012,22.50
17,GRASIM,Grasim Industries Limited,EQ,Dividend-Rs.20/- Per Share,2,06-Sep-2011,-,08-Sep-2011,17-Sep-2011,20
18,GRASIM,Grasim Industries Limited,EQ,Dividend-Rs.30/- Per Share,2,10-Aug-2010,-,12-Aug-2010,20-Aug-2010,30
0,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share,2,17-Oct-2025,17-Oct-2025,-,-,12
1,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share,2,18-Jul-2025,18-Jul-2025,-,-,12
2,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 18 Per Share,2,28-Apr-2025,28-Apr-2025,-,-,18
3,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share Special Dividend - Rs 6 Per Share,2,17-Jan-2025,17-Jan-2025,-,-,12
4,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share,2,22-Oct-2024,22-Oct-2024,-,-,12
5,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share,2,23-Jul-2024,23-Jul-2024,-,-,12
6,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 18 Per Share,2,07-May-2024,07-May-2024,-,-,18
7,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share,2,19-Jan-2024,20-Jan-2024,-,-,12
8,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 12 Per Share,2,20-Oct-2023,20-Oct-2023,-,-,12
9,HCLTECH,HCL Technologies Limited,EQ,Dividend - Rs 10 Per Share,2,20-Jul-2023,20-Jul-2023,-,-,10
10,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 18 Per Share,2,28-Apr-2023,28-Apr-2023,-,-,18
11,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 10 Per Share,2,19-Jan-2023,20-Jan-2023,-,-,10
12,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 10 Per Share,2,19-Oct-2022,20-Oct-2022,-,-,10
13,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend- Rs 10 Per Share,2,19-Jul-2022,20-Jul-2022,-,-,10
14,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend Rs 18 Per Share,2,28-Apr-2022,29-Apr-2022,-,-,18
15,HCLTECH,HCL Technologies Limited,EQ,Interim Dividend - Rs 10 Per Share,2,20-Jan-2022,22-Jan-2022,-,-,10
16,HCLTECH,HCL Technologies Limited,EQ, Interm Dividend - Rs 10 Per Share,2,21-Oct-2021,23-Oct-2021,-,-,10
17,HCLTECH,HCL Technologies Limited,EQ, Interim Dividend - Rs 6 Per Share,2,27-Jul-2021,28-Jul-2021,-,-,6
18,HCLTECH,HCL Technologies Limited,EQ, Interim Dividend - Rs 6 Per Share Special Interim Dividend - Rs 10 Per Share,2,29-Apr-2021,01-May-2021,-,-,6
19,HCLTECH,HCL Technologies Limited,EQ, Interim Dividend - Rs 4 Per Share,2,21-Jan-2021,23-Jan-2021,-,-,4
1,HDFCBANK,HDFC Bank Limited,EQ,Special Dividend - Rs 5 Per Share,1,25-Jul-2025,25-Jul-2025,-,-,5
2,HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 22 Per Share,1,27-Jun-2025,27-Jun-2025,-,-,22
3,HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 19.50 Per Share,1,10-May-2024,10-May-2024,-,-,19.50
4,HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 19 Per Share,1,16-May-2023,16-May-2023,-,-,19
5,HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 15.50 Per Share,1,12-May-2022,13-May-2022,-,-,15.50
6,HDFCBANK,HDFC Bank Limited,EQ, Dividend - Rs 6.50 Per Share,1,29-Jun-2021,30-Jun-2021,-,-,6.50
8,HDFCBANK,HDFC Bank Limited,EQ, Special Dividend - Rs 5 Per Share,1,01-Aug-2019,02-Aug-2019,-,-,5
9,HDFCBANK,HDFC Bank Limited,EQ, Dividend Rs 15 Per Sh,1,20-Jun-2019,21-Jun-2019,-,-,15
10,HDFCBANK,HDFC Bank Limited,EQ, Dividend- Rs 13 Per Share,1,31-May-2018,01-Jun-2018,-,-,13
11,HDFCBANK,HDFC Bank Limited,EQ, Dividend - Rs 11/- Per Share,1,29-Jun-2017,30-Jun-2017,-,-,11
12,HDFCBANK,HDFC Bank Limited,EQ, Dividend - Rs 9.50/- Per Share,1,29-Jun-2016,30-Jun-2016,-,-,9.50
13,HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting/ Dividend - Rs 8/- Per Share,1,02-Jul-2015,-,04-Jul-2015,21-Jul-2015,8
14,HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting And Dividend - Rs.6.85/- Per Share,1,05-Jun-2014,-,07-Jun-2014,25-Jun-2014,6.85
15,HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting / Final Dividend Rs.5.50/- Per Equity Share,1,13-Jun-2013,-,15-Jun-2013,27-Jun-2013,5.50
16,HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting And Dividend Rs.4.30 Per Share,1,28-Jun-2012,-,01-Jul-2012,13-Jul-2012,4.30
18,HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting And Dividend Rs.16.50 Per Share,1,02-Jun-2011,-,04-Jun-2011,10-Jun-2011,16.50
19,HDFCBANK,HDFC Bank Limited,EQ,Agm/Div-Rs.12/- Per Share,1,10-Jun-2010,-,12-Jun-2010,30-Jun-2010,12
0,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,Dividend - Rs 2.10 Per Share,10,20-Jun-2025,20-Jun-2025,-,-,2.10
1,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,Dividend - Rs 2 Per Share,10,21-Jun-2024,21-Jun-2024,-,-,2
2,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,Dividend - Rs 1.90 Per Share,10,16-Jun-2023,16-Jun-2023,-,-,1.90
3,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,Dividend - Rs 1.70 Per Share,10,31-May-2022,01-Jun-2022,-,-,1.70
4,HDFCLIFE,HDFC Life Insurance Company Limited,EQ, Dividend - Rs 2.02 Per Sh,10,30-Jun-2021,01-Jul-2021,-,-,2.02
6,HDFCLIFE,HDFC Life Insurance Company Limited,EQ, Interim Dividend - Rs 1.63 Per Share,10,14-Mar-2019,15-Mar-2019,-,-,1.63
8,HDFCLIFE,HDFC Life Insurance Company Limited,EQ, Interim Dividend - Rs 1.36 Per Share (Purpose Revised),10,15-Dec-2017,18-Dec-2017,-,-,1.36
0,HINDALCO,Hindalco Industries Limited,EQ,Dividend - Rs 5 Per Share,1,08-Aug-2025,08-Aug-2025,-,-,5
1,HINDALCO,Hindalco Industries Limited,EQ,Annual General Meeting/Dividend - Rs 3.5 Per Share,1,09-Aug-2024,09-Aug-2024,-,-,3.5
2,HINDALCO,Hindalco Industries Limited,EQ,Annual General Meeting/Dividend - Rs  3 Per Share,1,14-Aug-2023,-,16-Aug-2023,22-Aug-2023,3
3,HINDALCO,Hindalco Industries Limited,EQ,Annual General Meeting/Dividend - Rs 4 Per Share,1,11-Aug-2022,-,16-Aug-2022,22-Aug-2022,4
4,HINDALCO,Hindalco Industries Limited,EQ, Annual General Meeting/Dividend - Rs 3 Per Share,1,12-Aug-2021,-,17-Aug-2021,23-Aug-2021,3
5,HINDALCO,Hindalco Industries Limited,EQ, Annual General Meeting/Dividend - Re 1 Per Share,1,03-Sep-2020,-,05-Sep-2020,10-Sep-2020,1
6,HINDALCO,Hindalco Industries Limited,EQ, Annual General Meeting/Dividend - Rs 1.20 Per Share,1,14-Aug-2019,-,17-Aug-2019,30-Aug-2019,1.20
7,HINDALCO,Hindalco Industries Limited,EQ, Dividend- Rs 1.20 Per Share,1,12-Sep-2018,-,15-Sep-2018,21-Sep-2018,1.20
8,HINDALCO,Hindalco Industries Limited,EQ, Annual General Meeting/Dividend - Rs 1.10 Per Share,1,05-Sep-2017,-,07-Sep-2017,13-Sep-2017,1.10
9,HINDALCO,Hindalco Industries Limited,EQ, Dividend - Re 1/- Per Share,1,06-Sep-2016,-,08-Sep-2016,14-Sep-2016,1
10,HINDALCO,Hindalco Industries Limited,EQ,Dividend - Re 1 Per Share,1,07-Sep-2015,-,09-Sep-2015,16-Sep-2015,1
11,HINDALCO,Hindalco Industries Limited,EQ,Annual General Meeting / Dividend - Re 1/- Per Share,1,08-Sep-2014,-,10-Sep-2014,17-Sep-2014,1
12,HINDALCO,Hindalco Industries Limited,EQ,Annual General Meeting And Dividend Rs.1.40 Per Share,1,30-Aug-2013,-,03-Sep-2013,10-Sep-2013,1.40
13,HINDALCO,Hindalco Industries Limited,EQ,Annual General Meeting/Dividend Rs 1.55 Per Share,1,31-Aug-2012,-,04-Sep-2012,11-Sep-2012,1.55
14,HINDALCO,Hindalco Industries Limited,EQ,Dividend-Rs.1.50 Per Share,1,14-Sep-2011,-,16-Sep-2011,23-Sep-2011,1.50
15,HINDALCO,Hindalco Industries Limited,EQ,Dividend-Rs.1.35 Per Share,1,24-Aug-2010,-,26-Aug-2010,03-Sep-2010,1.35
16,HINDALCO,Hindalco Industries Limited,EQ,Dividend-Rs.1.35 Pr Share,1,10-Sep-2009,-,14-Sep-2009,18-Sep-2009,1.35
17,HINDALCO,Hindalco Industries Limited,EQ,Rhs 3:7@Prem Rs95/Div185%,1,28-Aug-2008,-,05-Sep-2008,05-Sep-2008,95
19,HINDALCO,Hindalco Industries Limited,EQ,Interim Dividend-170%    Purpose Revised,1,16-Mar-2007,20-Mar-2007,-,-,
0,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,Interim Dividend - Rs 5 Per Share,10,06-Nov-2025,06-Nov-2025,-,-,5
1,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,Dividend - Rs 10.50 Per Share,10,14-Aug-2025,14-Aug-2025,-,-,10.50
2,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,Dividend - Rs 11 Per Share,10,09-Aug-2024,09-Aug-2024,-,-,11
4,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,Interim Dividend - Rs 15 Per Share,10,07-Feb-2024,07-Feb-2024,-,-,15
5,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,Dividend - Rs 14 Per Share,10,22-Aug-2022,23-Aug-2022,-,-,14
6,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Dividend - Rs 22.75  Per Share,10,08-Jul-2021,-,12-Jul-2021,16-Jul-2021,22.75
7,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Dividend - Rs 9.75 Per Share,10,02-Jul-2020,-,06-Jul-2020,10-Jul-2020,9.75
8,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Dividend Rs - 9.40 Per Share,10,06-Jun-2019,-,10-Jun-2019,14-Jun-2019,9.40
9,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Interim Dividend - Rs 6.50 Per Share,10,14-Feb-2019,15-Feb-2019,-,-,6.50
10,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Dividend- Rs 2.50 Per Share,10,28-Jun-2018,-,02-Jul-2018,06-Jul-2018,2.50
11,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Interim Dividend - 14.50 Per Share,10,28-Feb-2018,01-Mar-2018,-,-,
12,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Bonus 1:2/ Dividend - Rs 1.10 Per Share,10,11-Jul-2017,12-Jul-2017,-,-,1.10
13,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Interim Dividend Rs 6.40 Per Share,10,24-Mar-2017,27-Mar-2017,-,-,6.40
14,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Interim Dividend Rs 22.50 Per Share,10,01-Mar-2017,02-Mar-2017,-,-,22.50
16,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Annual General Meeting/ Dividend -Rs 16/- Per Share,10,28-Jul-2016,-,01-Aug-2016,06-Aug-2016,16
17,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Interim Dividend - Rs 7/- Per Share (Purpose Revised),10,17-Mar-2016,19-Mar-2016,-,-,7
18,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Interim Dividend Rs 11.50 Per Share,10,11-Feb-2016,12-Feb-2016,-,-,11.50
19,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Annual General Meeting/ Dividend - Rs 24.50/- Per Share,10,02-Sep-2015,-,04-Sep-2015,10-Sep-2015,24.50
0,HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 19 Per Share,1,07-Nov-2025,07-Nov-2025,-,-,19
1,HINDUNILVR,Hindustan Unilever Limited,EQ,Dividend - Rs 24 Per Share,1,23-Jun-2025,23-Jun-2025,-,-,24
2,HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 19 Per Share/Special Dividend - Rs 10 Per Share,1,06-Nov-2024,06-Nov-2024,-,-,19
3,HINDUNILVR,Hindustan Unilever Limited,EQ,Annual General Meeting/Dividend - Rs 24 Per Share,1,14-Jun-2024,-,15-Jun-2024,21-Jun-2024,24
4,HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 18 Per Share,1,02-Nov-2023,02-Nov-2023,-,-,18
5,HINDUNILVR,Hindustan Unilever Limited,EQ,Annual General Meeting/Dividend - Rs 22 Per Share,1,19-Jun-2023,-,20-Jun-2023,26-Jun-2023,22
6,HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 17 Per Share,1,01-Nov-2022,02-Nov-2022,-,-,17
7,HINDUNILVR,Hindustan Unilever Limited,EQ,Annual General Meeting/Dividend - Rs  19 Per Share,1,15-Jun-2022,-,17-Jun-2022,23-Jun-2022,19
8,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 15 Per Share,1,26-Oct-2021,27-Oct-2021,-,-,15
9,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/Dividend - Rs 17  Per Sh,1,14-Jun-2021,-,16-Jun-2021,22-Jun-2021,17
10,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 14 Per Share,1,28-Oct-2020,29-Oct-2020,-,-,14
11,HINDUNILVR,Hindustan Unilever Limited,EQ, Special Dividend - Rs 9.50 Per Share,1,30-Jul-2020,31-Jul-2020,-,-,9.50
12,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/Dividend - Rs 14 Per Share,1,19-Jun-2020,-,23-Jun-2020,30-Jun-2020,14
13,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 11 Per Sh,1,23-Oct-2019,24-Oct-2019,-,-,11
14,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/ Dividend - Rs 13 Per Share,1,20-Jun-2019,-,22-Jun-2019,29-Jun-2019,13
15,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 9 Per Share (Date And Purpose Revised),1,25-Oct-2018,26-Oct-2018,-,-,9
16,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting / Dividend- Rs 12 Per Share,1,21-Jun-2018,-,23-Jun-2018,29-Jun-2018,12
17,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 8/- Per Share,1,01-Nov-2017,02-Nov-2017,-,-,8
18,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/Dividend - Rs 10/- Per Share,1,22-Jun-2017,-,24-Jun-2017,30-Jun-2017,10
19,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend Rs 7/- Per Share (Purpose Revised),1,01-Nov-2016,02-Nov-2016,-,-,7
0,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 11 Per Share,2,12-Aug-2025,12-Aug-2025,-,-,11
1,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 10 Per Share,2,12-Aug-2024,12-Aug-2024,-,-,10
2,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 8 Per Share,2,09-Aug-2023,09-Aug-2023,-,-,8
3,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 5 Per Share,2,08-Aug-2022,10-Aug-2022,-,-,5
4,ICICIBANK,ICICI Bank Limited,EQ, Dividend - Rs 2 Per Share,2,29-Jul-2021,30-Jul-2021,-,-,2
5,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/Dividend - Re 1 Per Share,2,22-Jul-2019,-,24-Jul-2019,09-Aug-2019,1
6,ICICIBANK,ICICI Bank Limited,EQ, Dividend- Rs 1.50 Per Share (Date Revised),2,24-Aug-2018,-,28-Aug-2018,12-Sep-2018,1.50
7,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),2,20-Jun-2017,-,22-Jun-2017,24-Jun-2017,2.50
8,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/ Dividend - Rs 5/- Per Share ,2,16-Jun-2016,-,18-Jun-2016,11-Jul-2016,5
9,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting/ Dividend - Rs 5/- Per Share,2,04-Jun-2015,-,06-Jun-2015,29-Jun-2015,5
11,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting/Dividend Rs.23/- Per Share,2,05-Jun-2014,-,07-Jun-2014,30-Jun-2014,23
12,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting/Dividend Rs.20/- Per Share,2,30-May-2013,-,01-Jun-2013,24-Jun-2013,20
13,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting And Dividend Rs.16.50 Per Share,2,31-May-2012,-,02-Jun-2012,25-Jun-2012,16.50
14,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting And Dividend Rs.14/- Per Share,2,02-Jun-2011,-,04-Jun-2011,27-Jun-2011,14
15,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting And Dividend Rs.12/- Per Share,2,10-Jun-2010,-,12-Jun-2010,28-Jun-2010,12
16,ICICIBANK,ICICI Bank Limited,EQ,Agm/Div-Rs.11/- Per Share,2,11-Jun-2009,-,15-Jun-2009,29-Jun-2009,11
17,ICICIBANK,ICICI Bank Limited,EQ,Agm/Dividend - 110%,2,10-Jul-2008,-,12-Jul-2008,26-Jul-2008,
18,ICICIBANK,ICICI Bank Limited,EQ,Agm/Dividend -100%,2,14-Jun-2007,-,16-Jun-2007,14-Jul-2007,
19,ICICIBANK,ICICI Bank Limited,EQ,Agm/Div-Rs.8.50/- Per Sh,2,06-Jul-2006,-,08-Jul-2006,22-Jul-2006,8.50
0,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Interim Dividend - Rs 6.50 Per Share,10,23-Oct-2025,23-Oct-2025,-,-,6.50
1,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Dividend - Rs 7 Per Share,10,06-Jun-2025,06-Jun-2025,-,-,7
2,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Interim Dividend - Rs 5.50 Per Share,10,28-Oct-2024,28-Oct-2024,-,-,5.50
3,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Dividend - Rs 6 Per Share,10,07-Jun-2024,07-Jun-2024,-,-,6
4,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Interim Dividend - Rs 5 Per Share,10,27-Oct-2023,27-Oct-2023,-,-,5
5,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Dividend - Rs 5.50 Per Share,10,12-Jun-2023,12-Jun-2023,-,-,5.50
6,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Interim Dividend - Rs 4.50 Per Share,10,27-Oct-2022,28-Oct-2022,-,-,4.50
7,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,Dividend - Rs 5 Per Share,10,28-Jul-2022,29-Jul-2022,-,-,5
8,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Interim Dividend - Rs 4 Per Sh,10,29-Oct-2021,01-Nov-2021,-,-,4
9,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Annual General Meeting/Dividend - Rs 4 Per Share,10,02-Aug-2021,03-Aug-2021,-,-,4
10,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Interim Dividend - Rs 4 Per Share,10,18-Mar-2021,19-Mar-2021,-,-,4
11,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Interim Dividend - Rs 3.50 Per Sh,10,31-Oct-2019,01-Nov-2019,-,-,3.50
12,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Annual General Meeting/ Dividend - Rs 3.50 Per Share,10,19-Jun-2019,-,21-Jun-2019,27-Jun-2019,3.50
13,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Interim Dividend - Rs 2.50 Per Share,10,29-Oct-2018,30-Oct-2018,-,-,2.50
14,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Annual General Meeting/Dividend- Rs 2.50 Per Share,10,04-Jul-2018,-,06-Jul-2018,12-Jul-2018,2.50
15,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ, Interim Dividend - Re 0.75 Per Share,10,26-Oct-2017,27-Oct-2017,-,-,0.75
0,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,Dividend - Re 0.85 Per Share,10,12-Jun-2025,12-Jun-2025,-,-,0.85
1,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,Dividend - Re 0.60 Per Share,10,13-Jun-2024,-,14-Jun-2024,28-Jun-2024,0.60
2,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,Dividend - Re 0.60 Per Share,10,13-Jul-2023,-,14-Jul-2023,28-Jul-2023,0.60
3,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,Dividend - Rs 0.55 Per Share,10,16-Jun-2022,-,20-Jun-2022,27-Jun-2022,0.55
4,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Dividend - Rs 2 Per Share,10,16-Jun-2021,-,18-Jun-2021,25-Jun-2021,2
5,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Interim Dividend - Re 0.80 Per Sh,10,31-Oct-2019,01-Nov-2019,-,-,0.80
6,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Annual General Meeting/Dividend - Rs 1.55 Per Share,10,09-Jul-2019,-,11-Jul-2019,17-Jul-2019,1.55
7,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Interim Dividend - Rs 1.6 Per Share,10,01-Nov-2018,02-Nov-2018,-,-,1.6
8,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Annual General Meeting / Final Dividend- Rs 2.20 Per Share / Special Dividend- Rs 1.10 Per Share,10,18-Jun-2018,-,20-Jun-2018,26-Jun-2018,2.20
9,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Interim Dividend - Rs 2.30 Per Share/ Special Dividend Rs 1.10 Per Share (Purpose Revised),10,02-Nov-2017,03-Nov-2017,-,-,2.30
10,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Annual General Meeting/Dividend - Rs 2.30/- Per Share/Special Dividend Rs 1.20/- Per Share,10,07-Jul-2017,-,11-Jul-2017,17-Jul-2017,2.30
11,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ, Interim Dividend Rs 1.75 Per Share (Purpose Revised),10,02-Nov-2016,03-Nov-2016,-,-,1.75
0,INDIGO,InterGlobe Aviation Limited,EQ,Dividend - Rs 10 Per Share,10,13-Aug-2025,13-Aug-2025,-,-,10
5,INDIGO,InterGlobe Aviation Limited,EQ, Annual General Meeting/Dividend - Rs 5 Per Share,10,19-Aug-2019,-,21-Aug-2019,27-Aug-2019,5
6,INDIGO,InterGlobe Aviation Limited,EQ, Annual General Meeting/Dividend- Rs 6 Per Share,10,02-Aug-2018,-,04-Aug-2018,10-Aug-2018,6
7,INDIGO,InterGlobe Aviation Limited,EQ, Annual General Meeting/Dividend - Rs 34/- Per Share,10,18-Aug-2017,-,22-Aug-2017,28-Aug-2017,34
8,INDIGO,InterGlobe Aviation Limited,EQ, Dividend - Rs 15/- Per Share,10,12-Sep-2016,-,15-Sep-2016,21-Sep-2016,15
0,INDUSINDBK,IndusInd Bank Limited,EQ,Dividend - Rs 16.50 Per Share,10,28-Jun-2024,28-Jun-2024,-,-,16.50
1,INDUSINDBK,IndusInd Bank Limited,EQ,Dividend - Rs 14 Per Share,10,02-Jun-2023,02-Jun-2023,-,-,14
