,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
18,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.3.75 Per Share,5,07-Jul-2011,-,09-Jul-2011,22-Jul-2011,3.75
0,ASIANPAINT,Asian Paints Limited,EQ,Dividend - Rs 20.55 Per Share,1,10-Jun-2025,10-Jun-2025,-,-,20.55
1,ASIANPAINT,Asian Paints Limited,EQ,Interim Dividend - Rs 4.25 Per Share,1,19-Nov-2024,19-Nov-2024,-,-,4.25
2,ASIANPAINT,Asian Paints Limited,EQ,Dividend - Rs 28.15 Per Share,1,11-Jun-2024,11-Jun-2024,-,-,28.15
3,ASIANPAINT,Asian Paints Limited,EQ,Interim Dividend - Rs 5.15 Per Share,1,03-Nov-2023,03-Nov-2023,-,-,5.15
4,ASIANPAINT,Asian Paints Limited,EQ,Dividend - Rs 21.25 Per Share,1,09-Jun-2023,09-Jun-2023,-,-,21.25
5,ASIANPAINT,Asian Paints Limited,EQ,Interim Dividend - Rs 4.40 Per Share,1,31-Oct-2022,01-Nov-2022,-,-,4.40
6,ASIANPAINT,Asian Paints Limited,EQ,Dividend - Rs 15.50 Per Share,1,09-Jun-2022,10-Jun-2022,-,-,15.50
7,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend - Rs 3.65 Per Share,1,28-Oct-2021,29-Oct-2021,-,-,3.65
8,ASIANPAINT,Asian Paints Limited,EQ, Dividend - Rs 14.50 Per Sh,1,10-Jun-2021,11-Jun-2021,-,-,14.50
9,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend - Rs 3.35 Per Share,1,28-Oct-2020,30-Oct-2020,-,-,3.35
10,ASIANPAINT,Asian Paints Limited,EQ, Annual General Meeting/Dividend - Rs  1.50 Per Share,1,23-Jul-2020,-,25-Jul-2020,05-Aug-2020,1.50
11,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend - Rs 7.15 Per Share,1,03-Mar-2020,04-Mar-2020,-,-,7.15
12,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend - Rs 3.35 Per Sh,1,30-Oct-2019,31-Oct-2019,-,-,3.35
13,ASIANPAINT,Asian Paints Limited,EQ, Dividend Rs -7.65 Per Share,1,13-Jun-2019,-,15-Jun-2019,27-Jun-2019,7.65
14,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend - Rs 2.85 Per Sh,1,29-Oct-2018,30-Oct-2018,-,-,2.85
15,ASIANPAINT,Asian Paints Limited,EQ, Dividend- Rs 6.05 Per Share,1,14-Jun-2018,-,16-Jun-2018,26-Jun-2018,6.05
16,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend - Rs 2.65 Per Share (Purpose Revised),1,31-Oct-2017,01-Nov-2017,-,-,2.65
17,ASIANPAINT,Asian Paints Limited,EQ, Annual General Meeting/Dividend Rs 5.65 Per Share + Special Dividend Rs 2/- Per Share,1,15-Jun-2017,-,17-Jun-2017,27-Jun-2017,5.65
18,ASIANPAINT,Asian Paints Limited,EQ, Interim Dividend Rs 2.65 Per Share (Purpose Revised),1,01-Nov-2016,02-Nov-2016,-,-,2.65
19,ASIANPAINT,Asian Paints Limited,EQ, Annul General Meeting/ Dividend - Rs 5.30/- Per Share,1,16-Jun-2016,-,18-Jun-2016,28-Jun-2016,5.30
0,AXISBANK,Axis Bank Limited,EQ,Dividend - Re 1 Per Sh,2,04-Jul-2025,04-Jul-2025,-,-,1
1,AXISBANK,Axis Bank Limited,EQ,Dividend - Re 1 Per Share,2,12-Jul-2024,12-Jul-2024,-,-,1
2,AXISBANK,Axis Bank Limited,EQ,Dividend - Re 1 Per Share,2,07-Jul-2023,07-Jul-2023,-,-,1
3,AXISBANK,Axis Bank Limited,EQ,Dividend - Rs 1 Per Share,2,07-Jul-2022,08-Jul-2022,-,-,1
4,AXISBANK,Axis Bank Limited,EQ, Annual General Meeting/ Dividend - Re 1 Per Share,2,04-Jul-2019,-,06-Jul-2019,20-Jul-2019,1
6,AXISBANK,Axis Bank Limited,EQ, Annual General Meeting/Dividend - Rs 5/- Per Share,2,06-Jul-2017,-,08-Jul-2017,26-Jul-2017,5
7,AXISBANK,Axis Bank Limited,EQ, Annual General Meeting/ Dividend-Rs 5/- Per Share,2,07-Jul-2016,-,09-Jul-2016,22-Jul-2016,5
8,AXISBANK,Axis Bank Limited,EQ,Annual General Meeting/Dividend Rs 4.60/- Per Share,2,09-Jul-2015,-,13-Jul-2015,24-Jul-2015,4.60
10,AXISBANK,Axis Bank Limited,EQ,Annual General Meeting / Dividend Rs.20/- Per Equity Share,2,12-Jun-2014,-,16-Jun-2014,27-Jun-2014,20
11,AXISBANK,Axis Bank Limited,EQ,Annual General Meeting / Dividend Rs.18/- Per Equity Share,2,05-Jul-2013,-,09-Jul-2013,19-Jul-2013,18
12,AXISBANK,Axis Bank Limited,EQ,Annual General Meeting And Dividend Rs.16/- Per Share,2,14-Jun-2012,-,16-Jun-2012,22-Jun-2012,16
13,AXISBANK,Axis Bank Limited,EQ,Annual General Meeting And Dividend Rs.14/- Per Share,2,08-Jun-2011,-,10-Jun-2011,17-Jun-2011,14
14,AXISBANK,Axis Bank Limited,EQ,Agm/Div-Rs.12/- Per Share,2,20-May-2010,-,24-May-2010,08-Jun-2010,12
15,AXISBANK,Axis Bank Limited,EQ,Agm/Dividend - 100%,2,14-May-2009,-,18-May-2009,01-Jun-2009,
16,AXISBANK,Axis Bank Limited,EQ,Agm/Dividend - 60%,2,22-May-2008,-,26-May-2008,06-Jun-2008,
17,AXISBANK,Axis Bank Limited,EQ,Agm/Dividend-45%,2,17-May-2007,-,21-May-2007,01-Jun-2007,
18,AXISBANK,Axis Bank Limited,EQ,Agm/Dividend-35%,2,16-May-2006,-,18-May-2006,02-Jun-2006,
0,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Dividend - Rs 210 Per Share,10,20-Jun-2025,20-Jun-2025,-,-,210
1,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Dividend - Rs 80 Per Share,10,14-Jun-2024,14-Jun-2024,-,-,80
3,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Dividend - Rs 140 Per Share,10,30-Jun-2023,30-Jun-2023,-,-,140
4,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Dividend - Rs 140 Per Share,10,30-Jun-2022,01-Jul-2022,-,-,140
5,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Annual General Meeting/Dividend - Rs 140 Per Share,10,08-Jul-2021,-,10-Jul-2021,22-Jul-2021,140
6,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Interim Dividend - Rs 120 Per Share,10,03-Mar-2020,04-Mar-2020,-,-,120
7,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Annual General Meeting/ Dividend - Rs 60 Per Share,10,11-Jul-2019,-,13-Jul-2019,26-Jul-2019,60
8,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Annual General Meeting / Dividend- Rs 60 Per Share,10,05-Jul-2018,-,07-Jul-2018,20-Jul-2018,60
9,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Annual General Meeting/Dividend - Rs 55/- Per Share,10,06-Jul-2017,-,08-Jul-2017,20-Jul-2017,55
10,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Annual General Meeting/ Dividend - Rs 5/- Per Share,10,14-Jul-2016,-,16-Jul-2016,27-Jul-2016,5
11,BAJAJ-AUTO,Bajaj Auto Limited,EQ, Interim Dividend - Rs 50/- Per Share (Purpose Revised),10,16-Mar-2016,17-Mar-2016,-,-,50
